ranking,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29
1,"/CHI/CHI2008/p1637-convertino.pdf
","/ASSETS/ASSETS2004/p63-harper.pdf
","/AAMAS/AAMAS2002/p1272-gallardo-antolin.pdf
","/GECCO/GECCO2005/p1819-mellor.pdf
","/ANCS/ANCS2008/p141-yu.pdf
","/ISCA/ISCA2008/3174a277.pdf
","/CHI/CHI2004/p271-adamczyk.pdf
","/GROUP/GROUP2003/p135-bansler.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/VLDB/VLDB2003/p706-schindler.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/MIR/MIR2010/p211-gawalt.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/VLDB/VLDB2004/p180-kifer.pdf
","/GECCO/GECCO2007/p2167-sullivan.pdf
","/ISCA/ISCA2003/p14-magklis.pdf
","/SIGMOD/SIGMOD2009/p165-pavlo.pdf
","/PODC/PODC2010/p173-tan.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/OZCHI/OZCHI2006/p167-pearce.pdf
","/SIGMETRICS/SIGMETRICS2008/p289-chaitanya.pdf
","/CGO/CGO2006/24990147.pdf
","/SIGGRAPH/SIGGRAPH2006/p1081-walter.pdf
","/SIGGRAPH/SIGGRAPH2010/a98-dong.pdf
","/JCDL/JCDL2007/p117-zhang.pdf
","/ITiCSE/ITiCSE2006/p48-brusilovsky.pdf
","/SIGIR/SIGIR2006/p276-soboroff.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/SIGCOMM/SIGCOMM2006/p195-muhlbauer.pdf
"
2,"/GROUP/GROUP2005/p158-cabitza.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/SIGIR/SIGIR2007/p247-yuan.pdf
","/ICML/ICML2009/p25-andrzejewski.pdf
","/IMC/IMC2005/p23-kornexl.pdf
","/MSPC/MSPC2006/p82-hindman.pdf
","/CHI/CHI2006/p741-iqbal.pdf
","/SIGUCCS/SIGUCCS2010/p15-civjan.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/ASPLOS/ASPLOS2009/p121-tam.pdf
","/SPLASH/SPLASH2005/p385-goldsmith.pdf
","/SIGIR/SIGIR2002/p121-hardy.pdf
","/AAMAS/AAMAS2009/p733-li.pdf
","/KDD/KDD2008/p515-madani.pdf
","/GECCO/GECCO2010/p1227-colmenar.pdf
","/ISLPED/ISLPED2006/p250-safi.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/PODC (1)/PODC2010/p173-tan.pdf
","/TAPIA/TAPIA2009/p87-hundley.pdf
","/CSCW/CSCW2004/p378-twidale.pdf
","/GLSVLSI/GLSVLSI2010/p401-chukhman.pdf
","/ISCA/ISCA2003/p157-huang.pdf
","/KDD/KDD2010/p1089-mueen.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2009/a174-vlasic.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
","/SoftVis/SoftVis2006/p197-loboda.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/KDD/KDD2005/p239-radlinski.pdf
","/SIGCOMM/SIGCOMM2006/p75-mahajan.pdf
"
3,"/WoSQ/WoSQ2005/p70-ziemer.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/GECCO/GECCO2006/p1125-cicirello.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CHI/CHI2009/p1799-jin.pdf
","/DIS/DIS2008/p288-ruecker.pdf
","/CHI/CHI2008/p835-grimes.pdf
","/SC/SC2001/p11-ross.pdf
","/SIGMOD/SIGMOD2007/p993-elhemali.pdf
","/CIKM/CIKM2010/p489.pdf
","/ML/ML2006/p63-lerner.pdf
","/WWW/WWW2009/p91-xie.pdf
","/PPoPP/PPoPP2003/p73-mccurdy.pdf
","/CGO/CGO2006/24990147.pdf
","/CGO/CGO2006/24990147.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/SIGUCCS/SIGUCCS2004/p305-jones.pdf
","/IUI/IUI2008/p227-glass.pdf
","/SC/SC2008/a13-park.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/AFRIGRAPH/AFRIGRAPH2009/p37-merry.pdf
","/I3D/I3D2006/p71-eisemann.pdf
","/JCDL/JCDL2008/p197-milne.pdf
","/SIGCSE/SIGCSE2001/p16-buck.pdf
","/SIGIR/SIGIR2006/p649-he.pdf
","/WSDM/WSDM2010/p181-dupret.pdf
","/SIGCOMM/SIGCOMM2006/p183-laskowski.pdf
"
4,"/CHI/CHI2009/p2339-convertino.pdf
","/W4A/W4A2006/p61-lewis.pdf
","/IUI/IUI2000/p21-bauer.pdf
","/SPLASH/SPLASH2006/p397-baxter.pdf
","/CCS/CCS2004/p2-dreger.pdf
","/SPLASH/SPLASH2007/p695-grossman.pdf
","/CHI/CHI2008/p835-grimes.pdf
","/PDC/PDC2006/p87-kanstrup.pdf
","/KDD/KDD2004/p276-shavlik.pdf
","/SYSTOR/SYSTOR2011/a9-essary.pdf
","/VLDB/VLDB2007/p603-beeri.pdf
","/WWW/WWW2005/p245-anagnostopoulos.pdf
","/EDBT/EDBT2010/p382-bruno.pdf
","/KDD/KDD2006/p96-calders.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/ICS/ICS2005/p101-azimi.pdf
","/HPDC/HPDC2010/p119-abramson.pdf
","/CoNext/CoNext2006/a5-cantieni.pdf
","/SIGCSE/SIGCSE2007/p556-purewal.pdf
","/CHI/CHI2001/p404-aberg.pdf
","/VLDB/VLDB2006/p787-tu.pdf
","/GLSVLSI/GLSVLSI2010/p401-chukhman.pdf
","/VIS/VIS2003/20300060.pdf
","/SIGGRAPH/SIGGRAPH2006/p1081-walter.pdf
","/NordiCHI/NordiCHI2008/p249-langer.pdf
","/ICER/ICER2005/p123-ihantola.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/KDD/KDD2008/p177-dassarma.pdf
","/AAMAS/AAMAS2008/p647-maheswaran.pdf
"
5,"/CSCW/CSCW2000/p319-herbsleb.pdf
","/JCDL/JCDL2001/p67-francisco-revilla.pdf
","/HT/HT2005/p66-dmitriev.pdf
","/CATS/CATS2008/p107-ruskey.pdf
","/SAICSIT/SAICSIT2010/p231-nottingham.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/GROUP/GROUP2007/p187-white.pdf
","/SIGCOMM/SIGCOMM2006/p315-bonomi.pdf
","/MICRO/MICRO2006/27320423.pdf
","/SIGMOD/SIGMOD2008/p147-agrawal.pdf
","/SIGMOD/SIGMOD2003/p76-schleimer.pdf
","/ICML/ICML2008/p256-doshi.pdf
","/SIGIR/SIGIR2003/p111-bennett.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/ISCA/ISCA2003/p157-huang.pdf
","/SIGMOD/SIGMOD2004/p395-ives.pdf
","/IUI/IUI2010/p1-park.pdf
","/ITiCSE/ITiCSE2009/p65-blume.pdf
","/OZCHI/OZCHI2008/p251-pearce.pdf
","/LCTES/LCTES2009/p137-gracioli.pdf
","/LCTES/LCTES2005/p69-cooper.pdf
","/CIVR/CIVR2007/p194-revaud.pdf
","/SIGGRAPH/SIGGRAPH2010/a61-hasan.pdf
","/JCDL/JCDL2008/p48-loizides.pdf
","/SIGCSE/SIGCSE2007/p105-arnold.pdf
","/CIKM/CIKM2005/p91-dasneves.pdf
","/MIR/MIR2008/p253-liu.pdf
","/AAMAS/AAMAS2008/p387-adam.pdf
"
6,"/Sandbox/Sandbox2009/p23-roberts.pdf
","/WWW/WWW2008/p11-yesilada.pdf
","/CHI/CHI2007/p687-rattenbury.pdf
","/GECCO/GECCO2005/p515-funes.pdf
","/EuroSys/EuroSys2010/p335-pesterev.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/ACMSE/ACMSE2004/p128-booker.pdf
","/CHI/CHI2004/p247-oulasvirta.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/SC/SC2009/a21-bent.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/WWW/WWW2010/p441-hovelynck.pdf
","/ICML/ICML2004/p90-wierstra.pdf
","/SIGMOD/SIGMOD2009/p375-ge.pdf
","/CODES/CODES2008/p31-lee.pdf
","/LCTES/LCTES2009/p41-lee.pdf
","/PACT/PACT2010/p285-zyulkyarov.pdf
","/SC/SC2009/a55-mohror.pdf
","/ITiCSE/ITiCSE2006/p68-hamer.pdf
","/CSCW/CSCW2002/p126-ribak.pdf
","/CODES/CODES2005/p111-maxiaguine.pdf
","/CGO/CGO2008/p64-salverda.pdf
","/MM/MM2002/p117-mann.pdf
","/SIGGRAPH/SIGGRAPH2001/p519-malzbender.pdf
","/SIGIR/SIGIR2010/p34.pdf
","/ITiCSE/ITiCSE2005/p59-kolling.pdf
","/SIGIR/SIGIR2004/p10-amitay.pdf
","/CIKM/CIKM2006/p208-anagnostopoulos.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
"
7,"/ICSE/ICSE2001/p81-herbsleb.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/CHI/CHI2007/p229-billman.pdf
","/RECOMB/RECOMB2002/p22-apostolico.pdf
","/ANCS/ANCS2009/p30-becchi.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/CHI/CHI2008/p1637-convertino.pdf
","/CSCW/CSCW2008/p495-danis.pdf
","/SC/SC2009/a55-mohror.pdf
","/CGO/CGO2006/24990346.pdf
","/VLDB/VLDB2006/p175-rao.pdf
","/SIGMOD/SIGMOD2008/p1031-shen.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/VLDB/VLDB2007/p758-ghinita.pdf
","/CGO/CGO2006/24990147.pdf
","/ISCA/ISCA2009/p302-rangan.pdf
","/SC/SC2009/a17-frings.pdf
","/MSR/MSR2006/p126-askari.pdf
","/SIGUCCS/SIGUCCS2006/p143-hitch.pdf
","/CHI/CHI2004/p247-oulasvirta.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/LCTES/LCTES2005/p127-sassone.pdf
","/I3D/I3D2006/p71-eisemann.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2009/a143-hasan.pdf
","/MM/MM2002/p49-teixeira.pdf
","/ITiCSE/ITiCSE2009/p328-boisvert.pdf
","/JCDL/JCDL2007/p402-deng.pdf
","/SIGMOD/SIGMOD2009/p349-chu.pdf
","/CHANTS/CHANTS2010/p55-doering.pdf
"
8,"/DIS/DIS2008/p40-pedersen.pdf
","/PODS/PODS2009/p1-dalvi.pdf
","/WI/WI2006/274700815.pdf
","/KDD/KDD2009/p269-du.pdf
","/ANCS/ANCS2008/p171-auernhammer.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
","/CHI/CHI2005/p331-fogarty.pdf
","/SIGDOC/SIGDOC2006/p142-zachry.pdf
","/LCTES/LCTES2009/p50-leather.pdf
","/SIGMETRICS/SIGMETRICS2006/p3-thereska.pdf
","/SIGMOD/SIGMOD2004/p659-markl.pdf
","/CIKM/CIKM2006/p559-pickens.pdf
","/AAMAS/AAMAS2008/p493-doshi.pdf
","/KDD/KDD2000/p315-bay.pdf
","/MICRO/MICRO2003/p291-swanson.pdf
","/SIGMETRICS/SIGMETRICS2002/p129-kandiraju.pdf
","/LCTES/LCTES2009/p137-gracioli.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/ITiCSE/ITiCSE2010/p3-aberg.pdf
","/SAC/SAC2010/p1213-hayashi.pdf
","/CGO/CGO2006/24990147.pdf
","/SPLASH/SPLASH2005/p327-shankar.pdf
","/SIGGRAPH/SIGGRAPH2005/p1098-walter.pdf
","/SIGGRAPH/SIGGRAPH2006/p762-gu.pdf
","/BCSHCI/BCSHCI2009/p252-laqua.pdf
","/HT/HT2000/p49-fischer.pdf
","/SIGIR/SIGIR2007/p247-yuan.pdf
","/WWW/WWW2010/p361-forman.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
"
9,"/CSCW/CSCW2002/p176-bossen.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/JCDL/JCDL2008/p197-milne.pdf
","/SODA/SODA2009/p68-elizalde.pdf
","/ANCS/ANCS2007/p1-hruby.pdf
","/PLDI/PLDI2007/p223-ding.pdf
","/CHI/CHI2010/p93-parnin.pdf
","/SAC/SAC2010/p1213-hayashi.pdf
","/KDD/KDD2008/p239-forman.pdf
","/SYSTOR/SYSTOR2009/a9-yalamanchili.pdf
","/EDBT/EDBT2010/p382-bruno.pdf
","/KDD/KDD2008/p177-dassarma.pdf
","/SIGMOD/SIGMOD2008/p1031-shen.pdf
","/VLDB/VLDB2003/p668-brown.pdf
","/SC/SC2009/a17-frings.pdf
","/CASES/CASES2008/p1-gupta.pdf
","/HPDC/HPDC2010/p849-huang.pdf
","/KDD/KDD2009/p139-bifet.pdf
","/SIGITE/SIGITE2005/p277-mcmahon.pdf
","/SIGDOC/SIGDOC2001/p31-silveira.pdf
","/DEBS/DEBS2010/p116-roitman.pdf
","/GECCO/GECCO2008/p1775-white.pdf
","/CIVR/CIVR2007/p288-colombo.pdf
","/I3D/I3D2005/p117-hegeman.pdf
","/WWW/WWW2008/p1-ahn.pdf
","/SIGCSE/SIGCSE2004/p432-goldman.pdf
","/SIGIR/SIGIR2008/p387.pdf
","/SIGIR/SIGIR2006/p429-chen.pdf
","/SIGCOMM/SIGCOMM2000/p57-breslau.pdf
"
10,"/MobileHCI/MobileHCI2005/p167-oulasvirta.pdf
","/HT/HT2007/p123-schraefel.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
","/ICFP/ICFP2010/p357-fischer.pdf
","/SIGCOMM/SIGCOMM2007/p73-mudigonda.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/UIST/UIST2003/p11-begole.pdf
","/JCDL/JCDL2002/p106-weatherley.pdf
","/KDD/KDD2009/p947-ye.pdf
","/SC/SC2004/21530052.pdf
","/ICSE/ICSE2010/p15-gabel.pdf
","/KDD/KDD2006/p96-calders.pdf
","/EC/EC2005/p155-gentry.pdf
","/KDD/KDD2005/p660-moerchen.pdf
","/CGO/CGO2004/21020315.pdf
","/CGO/CGO2008/p84-lee.pdf
","/SAC/SAC2010/p2305-ballance.pdf
","/MoMM/MoMM2009/p277-puente.pdf
","/PLoP/PLoP2006/a6-bergin.pdf
","/PETRA/PETRA2008/a45-mcbryan.pdf
","/WSC/WSC2005/p1939-dangelmaier.pdf
","/MICRO/MICRO2003/p291-swanson.pdf
","/VLDB/VLDB2006/p882-keogh.pdf
","/SIGGRAPH/SIGGRAPH2006/p1089-hasan.pdf
","/EC/EC2004/p208-pu.pdf
","/ITiCSE/ITiCSE2006/p23-shanmugasundaram.pdf
","/WWW/WWW2010/p361-forman.pdf
","/SIGIR/SIGIR2010/p451.pdf
","/WSC/WSC2002/p35-biller.pdf
"
