ranking,R1,R2,R3
1,"/CHI/CHI2008/p1637-convertino.pdf
","/ASSETS/ASSETS2004/p63-harper.pdf
","/AAMAS/AAMAS2002/p1272-gallardo-antolin.pdf
"
2,"/GROUP/GROUP2005/p158-cabitza.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/SIGIR/SIGIR2007/p247-yuan.pdf
"
3,"/WoSQ/WoSQ2005/p70-ziemer.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
"
4,"/CHI/CHI2009/p2339-convertino.pdf
","/W4A/W4A2006/p61-lewis.pdf
","/IUI/IUI2000/p21-bauer.pdf
"
5,"/CSCW/CSCW2000/p319-herbsleb.pdf
","/JCDL/JCDL2001/p67-francisco-revilla.pdf
","/HT/HT2005/p66-dmitriev.pdf
"
6,"/Sandbox/Sandbox2009/p23-roberts.pdf
","/WWW/WWW2008/p11-yesilada.pdf
","/CHI/CHI2007/p687-rattenbury.pdf
"
7,"/ICSE/ICSE2001/p81-herbsleb.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/CHI/CHI2007/p229-billman.pdf
"
8,"/DIS/DIS2008/p40-pedersen.pdf
","/PODS/PODS2009/p1-dalvi.pdf
","/WI/WI2006/274700815.pdf
"
9,"/CSCW/CSCW2002/p176-bossen.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/JCDL/JCDL2008/p197-milne.pdf
"
10,"/MobileHCI/MobileHCI2005/p167-oulasvirta.pdf
","/HT/HT2007/p123-schraefel.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
"
