ranking,R1,R2,R3,R4,R5,R6
1,"/CHI/CHI2008/p1637-convertino.pdf
","/ASSETS/ASSETS2004/p63-harper.pdf
","/AAMAS/AAMAS2002/p1272-gallardo-antolin.pdf
","/GECCO/GECCO2005/p1819-mellor.pdf
","/ANCS/ANCS2008/p141-yu.pdf
","/ISCA/ISCA2008/3174a277.pdf
"
2,"/GROUP/GROUP2005/p158-cabitza.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/SIGIR/SIGIR2007/p247-yuan.pdf
","/ICML/ICML2009/p25-andrzejewski.pdf
","/IMC/IMC2005/p23-kornexl.pdf
","/MSPC/MSPC2006/p82-hindman.pdf
"
3,"/WoSQ/WoSQ2005/p70-ziemer.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/GECCO/GECCO2006/p1125-cicirello.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
"
4,"/CHI/CHI2009/p2339-convertino.pdf
","/W4A/W4A2006/p61-lewis.pdf
","/IUI/IUI2000/p21-bauer.pdf
","/SPLASH/SPLASH2006/p397-baxter.pdf
","/CCS/CCS2004/p2-dreger.pdf
","/SPLASH/SPLASH2007/p695-grossman.pdf
"
5,"/CSCW/CSCW2000/p319-herbsleb.pdf
","/JCDL/JCDL2001/p67-francisco-revilla.pdf
","/HT/HT2005/p66-dmitriev.pdf
","/CATS/CATS2008/p107-ruskey.pdf
","/SAICSIT/SAICSIT2010/p231-nottingham.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
"
6,"/Sandbox/Sandbox2009/p23-roberts.pdf
","/WWW/WWW2008/p11-yesilada.pdf
","/CHI/CHI2007/p687-rattenbury.pdf
","/GECCO/GECCO2005/p515-funes.pdf
","/EuroSys/EuroSys2010/p335-pesterev.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
"
7,"/ICSE/ICSE2001/p81-herbsleb.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/CHI/CHI2007/p229-billman.pdf
","/RECOMB/RECOMB2002/p22-apostolico.pdf
","/ANCS/ANCS2009/p30-becchi.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
"
8,"/DIS/DIS2008/p40-pedersen.pdf
","/PODS/PODS2009/p1-dalvi.pdf
","/WI/WI2006/274700815.pdf
","/KDD/KDD2009/p269-du.pdf
","/ANCS/ANCS2008/p171-auernhammer.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
"
9,"/CSCW/CSCW2002/p176-bossen.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/JCDL/JCDL2008/p197-milne.pdf
","/SODA/SODA2009/p68-elizalde.pdf
","/ANCS/ANCS2007/p1-hruby.pdf
","/PLDI/PLDI2007/p223-ding.pdf
"
10,"/MobileHCI/MobileHCI2005/p167-oulasvirta.pdf
","/HT/HT2007/p123-schraefel.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
","/ICFP/ICFP2010/p357-fischer.pdf
","/SIGCOMM/SIGCOMM2007/p73-mudigonda.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
"
