R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
CHI09-p2061-zhou,JCDL05-p281-levy,SIGMOD10-p567-fu,SIGUCCS07-p240-mcintosh-elkins,ANCS10-a21-nelms,ISCA10-p210-lucia,CHI10-p1281-iqbal,GROUP10-p165-morgan,KDD09-p947-ye,SC01-p11-ross,CHI06-p711-karlson,SIGMOD04-p743-sarawagi,AAMAS10-p341-zang,PLDI03-p141-liblit,CODES10-p205-lee,ISCA10-p314-reddi,HPDC10-p13-teodoro,PODC10-p173-tan,ITiCSE10-p8-egan,ITiCSE10-p3-aberg,DATE09-p99-stoimenov,CGO10-p180-edler-von-koch,UIST10-p219-jacobs,ICMI-MLMI05-p61-nickel,CHI10-p35-aula,ICER05-p123-ihantola,SIGIR07-p723-kamps,SIGIR08-p163,PEWASUN10-p50-gazoni,IMC09-p202-kandula,MobiHoc05-p230-lee,ICSE10-p65-ferrari,MobiCom10-p341-keralapura,MobiCom10-p73-higgins,MM10-p1761-vallet,MM10-p1507-adcock,CF08-p67-perfumo,HPDC08-p1-hupfeld,ASPLOS10-p385-feng,ASPLOS09-p157-dice,CCS10-p15-christin,CCS10-p270-jang,ASE10-p33-buse,ICSE10-p185-latoza,SAC10-p558-wibisono,CIKM09-p1903,HPDC10-p849-huang,HT10-p109-cartledge,WWW10-p21-archak,WWW10-p401-hao
GROUP07-p21-munkvold,JCDL01-p426-crane,SIGMOD08-p251-brantner,PLoP09-a7-manns,SLIP06-p59-heirman,ISCA08-3174a277,CHI09-p1629-brumby,CHI08-p1101-butler,iiWAS09-p269-ykhlef,SC00-a57-no,IUI03-p181-stamant,SIGMOD09-p429-hadjieleftheriou,CHI06-p741-iqbal,LCTES09-p50-leather,EMSOFT07-p154-baek,CF10-p287-keramidas,SIGMOD04-p395-ives,PODC10-p173-tan,SIGCSE07-p556-purewal,SIGCSE01-p282-bergin,SBCCI05-p98-tavares,MEDEA07-p33-yamamoto,SIGGRAPH04-p294-agarwala,ISMAR02-17810014,IIiX10-p371-qu,ITiCSE09-p328-boisvert,WWW03-p1-henzinger,CIKM10-p1149,MobiHoc05-p230-lee,SC04-21530023,NetGames03-p77-fitzek,ISSTA04-p86-ostrand,SIGCOMM03-p137-estan,MobiArch10-p27-alperovich,MIR07-p299-sebe,MM10-p241-adcock,PPoPP08-p237-felber,OSDI06-p335-burrows,PLDI03-p141-liblit,CF08-p67-perfumo,WPES06-p109-cvrcek,WWW10-p951-vankleek,ICSE08-p451-maule,SIGSOFT06-p23-sillito,PETRA08-a2-roy,ASE10-p245-gibiec,UIST05-p211-kandogan,AVI04-p71-bovey,WSC05-p2280-stahl,SAC06-p997-kramer
CSCW06-p59-munkvold,HT02-p172-bernstein,VLDB04-p672-graefe,MobileHCI10-p265-petersen,ANCS09-p50-guo,PLDI08-p68-boehm,CHI01-p206-lai,GROUP07-p167-kriplean,KDD06-p96-calders,OSDI06-p89-joukov,AVI04-p267-chittaro,SIGMOD03-p157-mamoulis,SPM09-p313-jagadeesan,GECCO10-p1983-mcree,DaMon09-p15-ou,ISCA09-p302-rangan,SPLASH10-p806-rinard,ICAC09-p13-jiang,SIGCSE06-p122-etlinger,SIGCSE06-p122-etlinger,LCTES08-p61-anand,ISLPED09-p171-zeng,NPAR07-p121-zelnik-manor,VRST09-p67-figueroa,SIGIR10-p845,SIGCSE04-p432-goldman,SIGIR09-p452,WSDM09-p162-piwowarski,CoNext08-a14-venkataraman,NetGames03-p77-fitzek,SC04-21530023,ISSTA02-p55-ostrand,IUI03-p101-kim,MobiArch08-p85-dogar,MIR05-p3-jaimes,JCDL05-p69-christel,ICS09-p421-pant,HPDC08-p87-sotomayor,MSPC06-p11-mehrara,PPoPP10-p67-dalessandro,WPES09-p101-gessiou,SWS09-p3-chin,CIKM03-p443-conrad,ICSE08-p301-ko,ESEC05-p336-xu,CIKM06-p208-anagnostopoulos,VLDB04-p1214-stata,SPAA02-p282-sibeyn,KDD03-p717-mayer,JCDL04-p53-naaman
CHI10-p1787-chen,CHI04-p687-lin,VLDB07-p1138-poess,WSC08-p2954-henderson,CASES02-p202-melvin,EuroSys10-p307-chew,BCSHCI07-p11-brumby,SIGDOC09-p315-morgan,SIGMOD04-p743-sarawagi,VLDB03-p706-schindler,IUI03-p117-kray,WI04-21000648,CHASE08-p29-dealwis,EDBT09-p851-lengu,DaMon08-p11-ross,ISLPED06-p250-safi,DOLAP04-p7-wasserman,MSR06-p126-askari,ITiCSE03-p30-linos,PLoP06-a6-bergin,DAC02-p904-wong,DATE00-p4-leupers,NPAR08-p49-mould,SIGGRAPHASIA09-a174-vlasic,JCDL09-p313-kules,ECCE09-a29-wassink,SIGIR06-p276-soboroff,SIGIR07-p151-teevan,SIGCOMM00-p57-breslau,CHANTS06-p261-lindgren,SIGMETRICS07-p365-wang,ICSE07-28280560,VLDB04-p13-johnson,VANET09-p23-rybicki,W4A08-p116-ferretti,CIVR08-p447-christel,VLDB02-p20-weikum,AAMAS02-p1417-mostagir,PACT07-29440073,PLDI03-p141-liblit,CSCW00-p49-bowers,WPES02-p11-byers,CASCON03-p253-shirabad,SIGMOD03-p1-ullman,SACMAT03-p65-strembeck,SIGIR03-p18-teevan,VLDB05-p1251-bilke,KDD04-p118-faloutsos,EC08-p246-yang,JCDL01-p426-crane
CHI07-p219-tang,HT10-p315-lunn,CHI09-p1859-toomim,IUI00-p187-minsky,SIGCOMM07-p73-mudigonda,ASPLOS06-p72-zhuang,CHI05-p919-oulasvirta,CSCW08-p47-kriplean,SAC10-p1083-gabriel,HPDC10-p37-dun,Web3D07-p147-patterson,SIGMOD10-p495-vernica,UIST10-p313-bernstein,KDD04-p276-shavlik,LCTES07-p185-ning,VLDB07-p159-tatbul,WOSP10-p79-thomas,KDD06-p157-forman,SIGCSE08-p383-sturtevant,SIGUCCS03-p255-bradford,EMSOFT04-p175-burmester,GLSVLSI07-p138-robinson,SIGGRAPH08-a14-wang,ICMI-MLMI05-p45-iannizzotto,JCDL10-p69,SoftVis10-p153-helminen,CIKM10-p159,KDD05-p239-radlinski,SIGCOMM00-p17-rizzo,CoNext10-a4-applegate,BADS09-p53-bicocchi,WoSQ06-p15-damm,SAC10-p1083-gabriel,SIGCOMM03-p27-fall,MindTrek10-p187-prata,MM04-p732-christel,ASPLOS09-p157-dice,AAMAS07-a274-nguyen,SIGCOMM09-p243-kandula,PPoPP08-p237-felber,CHI06-p889-ludford,SESS07-29520002,ASE10-p43-sridhara,SIGIR05-p392-lin,DLS07-p77-gonzalez,JCDL07-p402-deng,SIGMOD05-p811-choy,WSC08-p1020-beichl,WSC09-p1-schriber,CIKM06-p698-leuski
GROUP05-p168-bardram,NSPW09-p71-peisert,WWW07-p411-zhang,PLoP09-a8-rising,SAICSIT10-p231-nottingham,ASPLOS09-p157-dice,CHI06-p917-vannimwegen,SIGDOC06-p142-zachry,EDBT09-p450-sarawagi,SC07-a8-liao,VRST01-p159-chittaro,SIGMOD03-p76-schleimer,AAMAS07-a37-taylor,KDD10-p713-steck,EMSOFT08-p51-sun,SIGMOD10-p231-tsirogiannis,HPDC10-p119-abramson,IMC05-p31-soule,SIGCSE01-p75-zimmerman,ICSE06-p655-port,EMSOFT04-p95-almeida,ICS07-p138-sharkey,MM04-p869-ke,FuturePlay07-p174-hogue,CHI08-p39-duggan,ITiCSE05-p59-kolling,CIKM10-p609,CIKM10-p1501,MICRO08-04771809,SenSys03-p14-woo,NOSSDAV04-p30-antonova,ISSTA06-p61-bell,SIGMOD10-p495-vernica,IMC08-p145-guha,HT08-p167-lawless,IUI10-p209-bergman,SIGMOD08-p981-harizopoulos,CCS05-p147-borders,ASPLOS07-p95-parashar,PPoPP08-p197-lev,CHI04-p687-lin,Haskell05-p17-schrage,ICSE09-05070532,SIGUCCS09-p257-carman,Q2SWinet08-p91-tavakolifard,CIKM03-p443-conrad,CSCW00-p69-preguica,WWW10-p861-sala,eclipse03-p94-andrianoff,WWW09-p791-zheng
CSCW08-p205-tang,SIGDOC06-p43-spinuzzi,SIGDOC01-p12-russell,SIGUCCS01-p97-mayer,ANCS09-p173-wun,PLDI03-p141-liblit,CHI09-p1799-jin,JCDL02-p106-weatherley,VLDB04-p13-johnson,ICS06-p97-marazakis,AVI04-p183-lesh,SIGMOD08-p67-bansal,IUI06-p47-fleischman,KDD04-p128-fan,OSDI00-p3-brown,ISCA05-22700322,SIGMOD09-p165-pavlo,KDD04-p128-fan,ACMSE10-a24-detmer,SIGUCCS06-p32-bradford,CASES05-p166-cazorla,LCTES04-p192-zhuang,APGV10-p89-raj,CHI10-p1381-stavness,SIGIR07-p159-white,ITiCSE06-p173-boisvert,SIGIR06-p649-he,WSDM10-p181-dupret,IMC09-p384-afanasyev,ISCA10-p338-abts,PPoPP07-p35-iancu,ICSE04-21630086,CIKM00-p20-liu,CCS09-p223-traynor,MM10-p1773-hanjalic,MM10-p1333-christel,PLDI07-p223-ding,SIGMOD08-p251-brantner,ISCA05-22700160,SPLASH03-p388-harris,WPES02-p11-byers,SIGDOC01-p12-russell,AOSD07-p49-hanenberg,SUITE10-p29-latoza,MobiDE07-p41-sanchez,SIGIR04-p10-amitay,ISEC09-p3-shroff,SIGCOMM03-p395-loguinov,GECCO08-p889-bhatt,SIGIR04-p488-crestan
CSCW02-p344-reddy,JCDL01-p41-marshall,Haskell05-p17-schrage,PLoP08-a14-manns,ANCS08-p99-congdon,PPoPP10-p67-dalessandro,CHI06-p889-ludford,ICLS04-p278-koschmann,SIGMOD03-p76-schleimer,SC08-a44-byna,NordiCHI08-p507-lin,SIGMOD03-p373-ilyas,Sandbox08-p23-white,SC09-a55-mohror,ASPLOS06-p72-zhuang,MICRO07-30470381,HPDC10-p49-sonmez,KDD09-p249-deodhar,TAPIA09-p87-hundley,SIGUCCS07-p332-sutch,PLDI03-p26-george,DATE07-p600-park,NPAR04-p121-sykora,VRST01-p93-low,IIiX10-p35-poddar,IUI08-p40-jin,WSDM09-p44-koolen,WWW10-p111-bennett,SenSys03-p14-woo,SYSTOR11-a5-wildani,CF07-p183-kamil,CHI08-p1637-convertino,SYSTOR11-a5-wildani,NSDR10-a6-keshav,MM10-p1699-laiolaguimaraes,MM07-p707-christel,PLDI03-p141-liblit,AAMAS08-p11-el-akehal,MICRO06-27320038,SPLASH07-p589-avgustinov,CHI07-p1235-ludford,ICSE08-p301-ko,AOM08-p31-sanchez,CIKM01-p535-voorhees,AAMAS02-p1231-edmonds,WSDM10-p1-elsas,CASCON05-p55-chen,KDD05-p177-leskovec,WSC02-p1142-rogers,CIKM03-p255-amitay
GROUP07-p1-schmidt,JCDL08-p177-schilit,SIGAda03-p38-rosen,SPLASH08-p617-gabriel,SIGMETRICS04-p355-hohn,PACT10-p465-pugsley,MobileHCI10-p113-weinberg,NordiCHI06-p175-rasanen,GECCO05-p79-baronti,ICS03-p252-wang,IUI04-p161-krueger,WWW05-p245-anagnostopoulos,GECCO10-p1299-mayfield,KDD06-p96-calders,ASPLOS01-p171-talluri,ICS04-p196-sasanka,CODES08-p161-schliecker,MoMM09-p277-puente,WCCCE09-p54-eng,ITiCSE06-p68-hamer,DAC08-p936-kundu,PACT06-p285-baev,MM07-p549-li,AVI10-p33-forlines,SIGIR10-p34,SIGCSE08-p493-allenstein,WWW04-p482-gabrilovich,KDD07-p76-baeza-yates,SIGCOMM06-p75-mahajan,ESEC07-p415-calegari,DATE10-p602-liu,ESEC07-p305-weyuker,SIGMOD04-p743-sarawagi,SIGCOMM04-p159-wang,CHI10-p2247-sundar,MIR03-p23-gaughan,VLDB07-p1150-stonebraker,Middleware09-a14-thomas,AAMAS10-p341-zang,PPoPP07-p56-carlstrom,NordiCHI08-p283-mathiasen,PLDI08-p193-mccamant,PLDI05-p117-avgustinov,CHI09-p1569-ko,IIiX06-p79-bierig,SIGIR07-p295-tao,CASCON05-p29-baldwin,SIGCOMM02-p147-tangmunarunkit,WPES06-p109-cvrcek,LOCWEB10-a8-oliveirinha
GROUP05-p158-cabitza,WSC07-p237-paul,KCAP05-p3-gazen,DIS08-p333-brewer,MICRO09-p280-das,SPLASH07-p589-avgustinov,CHI01-p144-mamykina,DIS08-p288-ruecker,CGO08-p4-zhuang,SC08-a42-shan,CHI08-p1793-kruk,SIGIR06-p284-henzinger,WSC01-p1262-grabau,ICSE10-p445-reisner,ASPLOS01-p86-wu,EDBT10-p63-wu,ACMSE09-a65-lowell,HPDC07-p85-sandholm,ITiCSE06-p53-plimmer,ACMSE08-p103-hunt,EMSOFT04-p64-wu,PLDI05-p168-zhuang,NPAR10-p109-lopez-moreno,ICMI-MLMI09-p79-cheamanunkul,WWW04-p13-rose,HT00-p49-fischer,JCDL09-p295-dalip,CIKM09-p1883,FPGA06-p169-eguro,VANET09-p23-rybicki,MobiWac07-p148-romdhani,WSC02-p35-biller,ESEC07-p395-goldsmith,SC09-a34-kissel,EuroITV10-p83-martin,NordiCHI10-p483-stelmaszewska,SIGMOD10-p483-cieslewicz,VLDB07-p1150-stonebraker,ASPLOS08-p255-wells,EDBT08-p4-antony,NSPW08-p59-herley,SESS06-p19-chen,ICAIL07-p261-conrad,ESEC07-p361-latoza,ECCE09-a13-salembier,CIKM10-p89,WSC01-p749-hamber,KDD10-p163-henderson,WSC02-p35-biller,LOCWEB09-a11-svee
