ranking,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
1,"/CHI/CHI2009/p2061-zhou.pdf
","/JCDL/JCDL2005/p281-levy.pdf
","/SIGMOD/SIGMOD2010/p567-fu.pdf
","/SIGUCCS/SIGUCCS2007/p240-mcintosh-elkins.pdf
","/ANCS/ANCS2010/a21-nelms.pdf
","/ISCA/ISCA2010/p210-lucia.pdf
","/CHI/CHI2010/p1281-iqbal.pdf
","/GROUP/GROUP2010/p165-morgan.pdf
","/KDD/KDD2009/p947-ye.pdf
","/SC/SC2001/p11-ross.pdf
","/CHI/CHI2006/p711-karlson.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CODES/CODES2010/p205-lee.pdf
","/ISCA/ISCA2010/p314-reddi.pdf
","/HPDC/HPDC2010/p13-teodoro.pdf
","/PODC/PODC2010/p173-tan.pdf
","/ITiCSE/ITiCSE2010/p8-egan.pdf
","/ITiCSE/ITiCSE2010/p3-aberg.pdf
","/DATE/DATE2009/p99-stoimenov.pdf
","/CGO/CGO2010/p180-edler-von-koch.pdf
","/UIST/UIST2010/p219-jacobs.pdf
","/ICMI-MLMI/ICMI-MLMI2005/p61-nickel.pdf
","/CHI/CHI2010/p35-aula.pdf
","/ICER/ICER2005/p123-ihantola.pdf
","/SIGIR/SIGIR2007/p723-kamps.pdf
","/SIGIR/SIGIR2008/p163.pdf
","/PEWASUN/PEWASUN2010/p50-gazoni.pdf
","/IMC/IMC2009/p202-kandula.pdf
","/MobiHoc/MobiHoc2005/p230-lee.pdf
","/ICSE/ICSE2010/p65-ferrari.pdf
","/MobiCom/MobiCom2010/p341-keralapura.pdf
","/MobiCom/MobiCom2010/p73-higgins.pdf
","/MM/MM2010/p1761-vallet.pdf
","/MM/MM2010/p1507-adcock.pdf
","/CF/CF2008/p67-perfumo.pdf
","/HPDC/HPDC2008/p1-hupfeld.pdf
","/ASPLOS/ASPLOS2010/p385-feng.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/CCS/CCS2010/p15-christin.pdf
","/CCS/CCS2010/p270-jang.pdf
","/ASE/ASE2010/p33-buse.pdf
","/ICSE/ICSE2010/p185-latoza.pdf
","/SAC/SAC2010/p558-wibisono.pdf
","/CIKM/CIKM2009/p1903.pdf
","/HPDC/HPDC2010/p849-huang.pdf
","/HT/HT2010/p109-cartledge.pdf
","/WWW/WWW2010/p21-archak.pdf
","/WWW/WWW2010/p401-hao.pdf
"
2,"/GROUP/GROUP2007/p21-munkvold.pdf
","/JCDL/JCDL2001/p426-crane.pdf
","/SIGMOD/SIGMOD2008/p251-brantner.pdf
","/PLoP/PLoP2009/a7-manns.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/ISCA/ISCA2008/3174a277.pdf
","/CHI/CHI2009/p1629-brumby.pdf
","/CHI/CHI2008/p1101-butler.pdf
","/iiWAS/iiWAS2009/p269-ykhlef.pdf
","/SC/SC2000/a57-no.pdf
","/IUI/IUI2003/p181-stamant.pdf
","/SIGMOD/SIGMOD2009/p429-hadjieleftheriou.pdf
","/CHI/CHI2006/p741-iqbal.pdf
","/LCTES/LCTES2009/p50-leather.pdf
","/EMSOFT/EMSOFT2007/p154-baek.pdf
","/CF/CF2010/p287-keramidas.pdf
","/SIGMOD/SIGMOD2004/p395-ives.pdf
","/PODC (1)/PODC2010/p173-tan.pdf
","/SIGCSE/SIGCSE2007/p556-purewal.pdf
","/SIGCSE/SIGCSE2001/p282-bergin.pdf
","/SBCCI/SBCCI2005/p98-tavares.pdf
","/MEDEA/MEDEA2007/p33-yamamoto.pdf
","/SIGGRAPH/SIGGRAPH2004/p294-agarwala.pdf
","/ISMAR/ISMAR2002/17810014.pdf
","/IIiX/IIiX2010/p371-qu.pdf
","/ITiCSE/ITiCSE2009/p328-boisvert.pdf
","/WWW/WWW2003/p1-henzinger.pdf
","/CIKM/CIKM2010/p1149.pdf
","/MobiHoc/MobiHoc2005/p230-lee.pdf
","/SC/SC2004/21530023.pdf
","/NetGames/NetGames2003/p77-fitzek.pdf
","/ISSTA/ISSTA2004/p86-ostrand.pdf
","/SIGCOMM/SIGCOMM2003/p137-estan.pdf
","/MobiArch/MobiArch2010/p27-alperovich.pdf
","/MIR/MIR2007/p299-sebe.pdf
","/MM/MM2010/p241-adcock.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/OSDI/OSDI2006/p335-burrows.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CF/CF2008/p67-perfumo.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/ICSE/ICSE2008/p451-maule.pdf
","/SIGSOFT/SIGSOFT2006/p23-sillito.pdf
","/PETRA/PETRA2008/a2-roy.pdf
","/ASE/ASE2010/p245-gibiec.pdf
","/UIST/UIST2005/p211-kandogan.pdf
","/AVI/AVI2004/p71-bovey.pdf
","/WSC/WSC2005/p2280-stahl.pdf
","/SAC/SAC2006/p997-kramer.pdf
"
3,"/CSCW/CSCW2006/p59-munkvold.pdf
","/HT/HT2002/p172-bernstein.pdf
","/VLDB/VLDB2004/p672-graefe.pdf
","/MobileHCI/MobileHCI2010/p265-petersen.pdf
","/ANCS/ANCS2009/p50-guo.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
","/CHI/CHI2001/p206-lai.pdf
","/GROUP/GROUP2007/p167-kriplean.pdf
","/KDD/KDD2006/p96-calders.pdf
","/OSDI/OSDI2006/p89-joukov.pdf
","/AVI/AVI2004/p267-chittaro.pdf
","/SIGMOD/SIGMOD2003/p157-mamoulis.pdf
","/SPM/SPM2009/p313-jagadeesan.pdf
","/GECCO/GECCO2010/p1983-mcree.pdf
","/DaMon/DaMon2009/p15-ou.pdf
","/ISCA/ISCA2009/p302-rangan.pdf
","/SPLASH/SPLASH2010/p806-rinard.pdf
","/ICAC/ICAC2009/p13-jiang.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/LCTES/LCTES2008/p61-anand.pdf
","/ISLPED/ISLPED2009/p171-zeng.pdf
","/NPAR/NPAR2007/p121-zelnik-manor.pdf
","/VRST/VRST2009/p67-figueroa.pdf
","/SIGIR/SIGIR2010/p845.pdf
","/SIGCSE/SIGCSE2004/p432-goldman.pdf
","/SIGIR/SIGIR2009/p452.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/CoNext/CoNext2008/a14-venkataraman.pdf
","/NetGames/NetGames2003/p77-fitzek.pdf
","/SC/SC2004/21530023.pdf
","/ISSTA/ISSTA2002/p55-ostrand.pdf
","/IUI/IUI2003/p101-kim.pdf
","/MobiArch/MobiArch2008/p85-dogar.pdf
","/MIR/MIR2005/p3-jaimes.pdf
","/JCDL/JCDL2005/p69-christel.pdf
","/ICS/ICS2009/p421-pant.pdf
","/HPDC/HPDC2008/p87-sotomayor.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/PPoPP/PPoPP2010/p67-dalessandro.pdf
","/WPES/WPES2009/p101-gessiou.pdf
","/SWS/SWS2009/p3-chin.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/ESEC/ESEC2005/p336-xu.pdf
","/CIKM/CIKM2006/p208-anagnostopoulos.pdf
","/VLDB/VLDB2004/p1214-stata.pdf
","/SPAA/SPAA2002/p282-sibeyn.pdf
","/KDD/KDD2003/p717-mayer.pdf
","/JCDL/JCDL2004/p53-naaman.pdf
"
4,"/CHI/CHI2010/p1787-chen.pdf
","/CHI/CHI2004/p687-lin.pdf
","/VLDB/VLDB2007/p1138-poess.pdf
","/WSC/WSC2008/p2954-henderson.pdf
","/CASES/CASES2002/p202-melvin.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
","/BCSHCI/BCSHCI2007/p11-brumby.pdf
","/SIGDOC/SIGDOC2009/p315-morgan.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/VLDB/VLDB2003/p706-schindler.pdf
","/IUI/IUI2003/p117-kray.pdf
","/WI/WI2004/21000648.pdf
","/CHASE/CHASE2008/p29-dealwis.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/DaMon/DaMon2008/p11-ross.pdf
","/ISLPED/ISLPED2006/p250-safi.pdf
","/DOLAP/DOLAP2004/p7-wasserman.pdf
","/MSR/MSR2006/p126-askari.pdf
","/ITiCSE/ITiCSE2003/p30-linos.pdf
","/PLoP/PLoP2006/a6-bergin.pdf
","/DAC/DAC2002/p904-wong.pdf
","/DATE/DATE2000/p4-leupers.pdf
","/NPAR/NPAR2008/p49-mould.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2009/a174-vlasic.pdf
","/JCDL/JCDL2009/p313-kules.pdf
","/ECCE/ECCE2009/a29-wassink.pdf
","/SIGIR/SIGIR2006/p276-soboroff.pdf
","/SIGIR/SIGIR2007/p151-teevan.pdf
","/SIGCOMM/SIGCOMM2000/p57-breslau.pdf
","/CHANTS/CHANTS2006/p261-lindgren.pdf
","/SIGMETRICS/SIGMETRICS2007/p365-wang.pdf
","/ICSE/ICSE2007/28280560.pdf
","/VLDB/VLDB2004/p13-johnson.pdf
","/VANET/VANET2009/p23-rybicki.pdf
","/W4A/W4A2008/p116-ferretti.pdf
","/CIVR/CIVR2008/p447-christel.pdf
","/VLDB/VLDB2002/p20-weikum.pdf
","/AAMAS/AAMAS2002/p1417-mostagir.pdf
","/PACT/PACT2007/29440073.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CSCW/CSCW2000/p49-bowers.pdf
","/WPES/WPES2002/p11-byers.pdf
","/CASCON/CASCON2003/p253-shirabad.pdf
","/SIGMOD/SIGMOD2003/p1-ullman.pdf
","/SACMAT/SACMAT2003/p65-strembeck.pdf
","/SIGIR/SIGIR2003/p18-teevan.pdf
","/VLDB/VLDB2005/p1251-bilke.pdf
","/KDD/KDD2004/p118-faloutsos.pdf
","/EC/EC2008/p246-yang.pdf
","/JCDL/JCDL2001/p426-crane.pdf
"
5,"/CHI/CHI2007/p219-tang.pdf
","/HT/HT2010/p315-lunn.pdf
","/CHI/CHI2009/p1859-toomim.pdf
","/IUI/IUI2000/p187-minsky.pdf
","/SIGCOMM/SIGCOMM2007/p73-mudigonda.pdf
","/ASPLOS/ASPLOS2006/p72-zhuang.pdf
","/CHI/CHI2005/p919-oulasvirta.pdf
","/CSCW/CSCW2008/p47-kriplean.pdf
","/SAC/SAC2010/p1083-gabriel.pdf
","/HPDC/HPDC2010/p37-dun.pdf
","/Web3D/Web3D2007/p147-patterson.pdf
","/SIGMOD/SIGMOD2010/p495-vernica.pdf
","/UIST/UIST2010/p313-bernstein.pdf
","/KDD/KDD2004/p276-shavlik.pdf
","/LCTES/LCTES2007/p185-ning.pdf
","/VLDB/VLDB2007/p159-tatbul.pdf
","/WOSP/WOSP2010/p79-thomas.pdf
","/KDD/KDD2006/p157-forman.pdf
","/SIGCSE/SIGCSE2008/p383-sturtevant.pdf
","/SIGUCCS/SIGUCCS2003/p255-bradford.pdf
","/EMSOFT/EMSOFT2004/p175-burmester.pdf
","/GLSVLSI/GLSVLSI2007/p138-robinson.pdf
","/SIGGRAPH/SIGGRAPH2008/a14-wang.pdf
","/ICMI-MLMI/ICMI-MLMI2005/p45-iannizzotto.pdf
","/JCDL/JCDL2010/p69.pdf
","/SoftVis/SoftVis2010/p153-helminen.pdf
","/CIKM/CIKM2010/p159.pdf
","/KDD/KDD2005/p239-radlinski.pdf
","/SIGCOMM/SIGCOMM2000/p17-rizzo.pdf
","/CoNext/CoNext2010/a4-applegate.pdf
","/BADS/BADS2009/p53-bicocchi.pdf
","/WoSQ/WoSQ2006/p15-damm.pdf
","/SAC/SAC2010/p1083-gabriel.pdf
","/SIGCOMM/SIGCOMM2003/p27-fall.pdf
","/MindTrek/MindTrek2010/p187-prata.pdf
","/MM/MM2004/p732-christel.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/AAMAS/AAMAS2007/a274-nguyen.pdf
","/SIGCOMM/SIGCOMM2009/p243-kandula.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/CHI/CHI2006/p889-ludford.pdf
","/SESS/SESS2007/29520002.pdf
","/ASE/ASE2010/p43-sridhara.pdf
","/SIGIR/SIGIR2005/p392-lin.pdf
","/DLS/DLS2007/p77-gonzalez.pdf
","/JCDL/JCDL2007/p402-deng.pdf
","/SIGMOD/SIGMOD2005/p811-choy.pdf
","/WSC/WSC2008/p1020-beichl.pdf
","/WSC/WSC2009/p1-schriber.pdf
","/CIKM/CIKM2006/p698-leuski.pdf
"
6,"/GROUP/GROUP2005/p168-bardram.pdf
","/NSPW/NSPW2009/p71-peisert.pdf
","/WWW/WWW2007/p411-zhang.pdf
","/PLoP/PLoP2009/a8-rising.pdf
","/SAICSIT/SAICSIT2010/p231-nottingham.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/CHI/CHI2006/p917-vannimwegen.pdf
","/SIGDOC/SIGDOC2006/p142-zachry.pdf
","/EDBT/EDBT2009/p450-sarawagi.pdf
","/SC/SC2007/a8-liao.pdf
","/VRST/VRST2001/p159-chittaro.pdf
","/SIGMOD/SIGMOD2003/p76-schleimer.pdf
","/AAMAS/AAMAS2007/a37-taylor.pdf
","/KDD/KDD2010/p713-steck.pdf
","/EMSOFT/EMSOFT2008/p51-sun.pdf
","/SIGMOD/SIGMOD2010/p231-tsirogiannis.pdf
","/HPDC/HPDC2010/p119-abramson.pdf
","/IMC/IMC2005/p31-soule.pdf
","/SIGCSE/SIGCSE2001/p75-zimmerman.pdf
","/ICSE/ICSE2006/p655-port.pdf
","/EMSOFT/EMSOFT2004/p95-almeida.pdf
","/ICS/ICS2007/p138-sharkey.pdf
","/MM/MM2004/p869-ke.pdf
","/FuturePlay/FuturePlay2007/p174-hogue.pdf
","/CHI/CHI2008/p39-duggan.pdf
","/ITiCSE/ITiCSE2005/p59-kolling.pdf
","/CIKM/CIKM2010/p609.pdf
","/CIKM/CIKM2010/p1501.pdf
","/MICRO/MICRO2008/04771809.pdf
","/SenSys/SenSys2003/p14-woo.pdf
","/NOSSDAV/NOSSDAV2004/p30-antonova.pdf
","/ISSTA/ISSTA2006/p61-bell.pdf
","/SIGMOD/SIGMOD2010/p495-vernica.pdf
","/IMC/IMC2008/p145-guha.pdf
","/HT/HT2008/p167-lawless.pdf
","/IUI/IUI2010/p209-bergman.pdf
","/SIGMOD/SIGMOD2008/p981-harizopoulos.pdf
","/CCS/CCS2005/p147-borders.pdf
","/ASPLOS/ASPLOS2007/p95-parashar.pdf
","/PPoPP/PPoPP2008/p197-lev.pdf
","/CHI/CHI2004/p687-lin.pdf
","/Haskell/Haskell2005/p17-schrage.pdf
","/ICSE/ICSE2009/05070532.pdf
","/SIGUCCS/SIGUCCS2009/p257-carman.pdf
","/Q2SWinet/Q2SWinet2008/p91-tavakolifard.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/CSCW/CSCW2000/p69-preguica.pdf
","/WWW/WWW2010/p861-sala.pdf
","/eclipse/eclipse2003/p94-andrianoff.pdf
","/WWW/WWW2009/p791-zheng.pdf
"
7,"/CSCW/CSCW2008/p205-tang.pdf
","/SIGDOC/SIGDOC2006/p43-spinuzzi.pdf
","/SIGDOC/SIGDOC2001/p12-russell.pdf
","/SIGUCCS/SIGUCCS2001/p97-mayer.pdf
","/ANCS/ANCS2009/p173-wun.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CHI/CHI2009/p1799-jin.pdf
","/JCDL/JCDL2002/p106-weatherley.pdf
","/VLDB/VLDB2004/p13-johnson.pdf
","/ICS/ICS2006/p97-marazakis.pdf
","/AVI/AVI2004/p183-lesh.pdf
","/SIGMOD/SIGMOD2008/p67-bansal.pdf
","/IUI/IUI2006/p47-fleischman.pdf
","/KDD/KDD2004/p128-fan.pdf
","/OSDI/OSDI2000/p3-brown.pdf
","/ISCA/ISCA2005/22700322.pdf
","/SIGMOD/SIGMOD2009/p165-pavlo.pdf
","/KDD/KDD2004/p128-fan.pdf
","/ACMSE/ACMSE2010/a24-detmer.pdf
","/SIGUCCS/SIGUCCS2006/p32-bradford.pdf
","/CASES/CASES2005/p166-cazorla.pdf
","/LCTES/LCTES2004/p192-zhuang.pdf
","/APGV/APGV2010/p89-raj.pdf
","/CHI/CHI2010/p1381-stavness.pdf
","/SIGIR/SIGIR2007/p159-white.pdf
","/ITiCSE/ITiCSE2006/p173-boisvert.pdf
","/SIGIR/SIGIR2006/p649-he.pdf
","/WSDM/WSDM2010/p181-dupret.pdf
","/IMC/IMC2009/p384-afanasyev.pdf
","/ISCA/ISCA2010/p338-abts.pdf
","/PPoPP/PPoPP2007/p35-iancu.pdf
","/ICSE/ICSE2004/21630086.pdf
","/CIKM/CIKM2000/p20-liu.pdf
","/CCS/CCS2009/p223-traynor.pdf
","/MM/MM2010/p1773-hanjalic.pdf
","/MM/MM2010/p1333-christel.pdf
","/PLDI/PLDI2007/p223-ding.pdf
","/SIGMOD/SIGMOD2008/p251-brantner.pdf
","/ISCA/ISCA2005/22700160.pdf
","/SPLASH/SPLASH2003/p388-harris.pdf
","/WPES/WPES2002/p11-byers.pdf
","/SIGDOC/SIGDOC2001/p12-russell.pdf
","/AOSD/AOSD2007/p49-hanenberg.pdf
","/SUITE/SUITE2010/p29-latoza.pdf
","/MobiDE/MobiDE2007/p41-sanchez.pdf
","/SIGIR/SIGIR2004/p10-amitay.pdf
","/ISEC/ISEC2009/p3-shroff.pdf
","/SIGCOMM/SIGCOMM2003/p395-loguinov.pdf
","/GECCO/GECCO2008/p889-bhatt.pdf
","/SIGIR/SIGIR2004/p488-crestan.pdf
"
8,"/CSCW/CSCW2002/p344-reddy.pdf
","/JCDL/JCDL2001/p41-marshall.pdf
","/Haskell/Haskell2005/p17-schrage.pdf
","/PLoP/PLoP2008/a14-manns.pdf
","/ANCS/ANCS2008/p99-congdon.pdf
","/PPoPP/PPoPP2010/p67-dalessandro.pdf
","/CHI/CHI2006/p889-ludford.pdf
","/ICLS/ICLS2004/p278-koschmann.pdf
","/SIGMOD/SIGMOD2003/p76-schleimer.pdf
","/SC/SC2008/a44-byna.pdf
","/NordiCHI/NordiCHI2008/p507-lin.pdf
","/SIGMOD/SIGMOD2003/p373-ilyas.pdf
","/Sandbox/Sandbox2008/p23-white.pdf
","/SC/SC2009/a55-mohror.pdf
","/ASPLOS/ASPLOS2006/p72-zhuang.pdf
","/MICRO/MICRO2007/30470381.pdf
","/HPDC/HPDC2010/p49-sonmez.pdf
","/KDD/KDD2009/p249-deodhar.pdf
","/TAPIA/TAPIA2009/p87-hundley.pdf
","/SIGUCCS/SIGUCCS2007/p332-sutch.pdf
","/PLDI/PLDI2003/p26-george.pdf
","/DATE/DATE2007/p600-park.pdf
","/NPAR/NPAR2004/p121-sykora.pdf
","/VRST/VRST2001/p93-low.pdf
","/IIiX/IIiX2010/p35-poddar.pdf
","/IUI/IUI2008/p40-jin.pdf
","/WSDM/WSDM2009/p44-koolen.pdf
","/WWW/WWW2010/p111-bennett.pdf
","/SenSys/SenSys2003/p14-woo.pdf
","/SYSTOR/SYSTOR2011/a5-wildani.pdf
","/CF/CF2007/p183-kamil.pdf
","/CHI/CHI2008/p1637-convertino.pdf
","/SYSTOR/SYSTOR2011/a5-wildani.pdf
","/NSDR/NSDR2010/a6-keshav.pdf
","/MM/MM2010/p1699-laiolaguimaraes.pdf
","/MM/MM2007/p707-christel.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/AAMAS/AAMAS2008/p11-el-akehal.pdf
","/MICRO/MICRO2006/27320038.pdf
","/SPLASH/SPLASH2007/p589-avgustinov.pdf
","/CHI/CHI2007/p1235-ludford.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/AOM/AOM2008/p31-sanchez.pdf
","/CIKM/CIKM2001/p535-voorhees.pdf
","/AAMAS/AAMAS2002/p1231-edmonds.pdf
","/WSDM/WSDM2010/p1-elsas.pdf
","/CASCON/CASCON2005/p55-chen.pdf
","/KDD/KDD2005/p177-leskovec.pdf
","/WSC/WSC2002/p1142-rogers.pdf
","/CIKM/CIKM2003/p255-amitay.pdf
"
9,"/GROUP/GROUP2007/p1-schmidt.pdf
","/JCDL/JCDL2008/p177-schilit.pdf
","/SIGAda/SIGAda2003/p38-rosen.pdf
","/SPLASH/SPLASH2008/p617-gabriel.pdf
","/SIGMETRICS/SIGMETRICS2004/p355-hohn.pdf
","/PACT/PACT2010/p465-pugsley.pdf
","/MobileHCI/MobileHCI2010/p113-weinberg.pdf
","/NordiCHI/NordiCHI2006/p175-rasanen.pdf
","/GECCO/GECCO2005/p79-baronti.pdf
","/ICS/ICS2003/p252-wang.pdf
","/IUI/IUI2004/p161-krueger.pdf
","/WWW/WWW2005/p245-anagnostopoulos.pdf
","/GECCO/GECCO2010/p1299-mayfield.pdf
","/KDD/KDD2006/p96-calders.pdf
","/ASPLOS/ASPLOS2001/p171-talluri.pdf
","/ICS/ICS2004/p196-sasanka.pdf
","/CODES/CODES2008/p161-schliecker.pdf
","/MoMM/MoMM2009/p277-puente.pdf
","/WCCCE/WCCCE2009/p54-eng.pdf
","/ITiCSE/ITiCSE2006/p68-hamer.pdf
","/DAC/DAC2008/p936-kundu.pdf
","/PACT/PACT2006/p285-baev.pdf
","/MM/MM2007/p549-li.pdf
","/AVI/AVI2010/p33-forlines.pdf
","/SIGIR/SIGIR2010/p34.pdf
","/SIGCSE/SIGCSE2008/p493-allenstein.pdf
","/WWW/WWW2004/p482-gabrilovich.pdf
","/KDD/KDD2007/p76-baeza-yates.pdf
","/SIGCOMM/SIGCOMM2006/p75-mahajan.pdf
","/ESEC/ESEC2007/p415-calegari.pdf
","/DATE/DATE2010/p602-liu.pdf
","/ESEC/ESEC2007/p305-weyuker.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/SIGCOMM/SIGCOMM2004/p159-wang.pdf
","/CHI/CHI2010/p2247-sundar.pdf
","/MIR/MIR2003/p23-gaughan.pdf
","/VLDB/VLDB2007/p1150-stonebraker.pdf
","/Middleware/Middleware2009/a14-thomas.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/PPoPP/PPoPP2007/p56-carlstrom.pdf
","/NordiCHI/NordiCHI2008/p283-mathiasen.pdf
","/PLDI/PLDI2008/p193-mccamant.pdf
","/PLDI/PLDI2005/p117-avgustinov.pdf
","/CHI/CHI2009/p1569-ko.pdf
","/IIiX/IIiX2006/p79-bierig.pdf
","/SIGIR/SIGIR2007/p295-tao.pdf
","/CASCON/CASCON2005/p29-baldwin.pdf
","/SIGCOMM/SIGCOMM2002/p147-tangmunarunkit.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/LOCWEB/LOCWEB2010/a8-oliveirinha.pdf
"
10,"/GROUP/GROUP2005/p158-cabitza.pdf
","/WSC/WSC2007/p237-paul.pdf
","/KCAP/KCAP2005/p3-gazen.pdf
","/DIS/DIS2008/p333-brewer.pdf
","/MICRO/MICRO2009/p280-das.pdf
","/SPLASH/SPLASH2007/p589-avgustinov.pdf
","/CHI/CHI2001/p144-mamykina.pdf
","/DIS/DIS2008/p288-ruecker.pdf
","/CGO/CGO2008/p4-zhuang.pdf
","/SC/SC2008/a42-shan.pdf
","/CHI/CHI2008/p1793-kruk.pdf
","/SIGIR/SIGIR2006/p284-henzinger.pdf
","/WSC/WSC2001/p1262-grabau.pdf
","/ICSE/ICSE2010/p445-reisner.pdf
","/ASPLOS/ASPLOS2001/p86-wu.pdf
","/EDBT/EDBT2010/p63-wu.pdf
","/ACMSE/ACMSE2009/a65-lowell.pdf
","/HPDC/HPDC2007/p85-sandholm.pdf
","/ITiCSE/ITiCSE2006/p53-plimmer.pdf
","/ACMSE/ACMSE2008/p103-hunt.pdf
","/EMSOFT/EMSOFT2004/p64-wu.pdf
","/PLDI/PLDI2005/p168-zhuang.pdf
","/NPAR/NPAR2010/p109-lopez-moreno.pdf
","/ICMI-MLMI/ICMI-MLMI2009/p79-cheamanunkul.pdf
","/WWW/WWW2004/p13-rose.pdf
","/HT/HT2000/p49-fischer.pdf
","/JCDL/JCDL2009/p295-dalip.pdf
","/CIKM/CIKM2009/p1883.pdf
","/FPGA/FPGA2006/p169-eguro.pdf
","/VANET/VANET2009/p23-rybicki.pdf
","/MobiWac/MobiWac2007/p148-romdhani.pdf
","/WSC/WSC2002/p35-biller.pdf
","/ESEC/ESEC2007/p395-goldsmith.pdf
","/SC/SC2009/a34-kissel.pdf
","/EuroITV/EuroITV2010/p83-martin.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/VLDB/VLDB2007/p1150-stonebraker.pdf
","/ASPLOS/ASPLOS2008/p255-wells.pdf
","/EDBT/EDBT2008/p4-antony.pdf
","/NSPW/NSPW2008/p59-herley.pdf
","/SESS/SESS2006/p19-chen.pdf
","/ICAIL/ICAIL2007/p261-conrad.pdf
","/ESEC/ESEC2007/p361-latoza.pdf
","/ECCE/ECCE2009/a13-salembier.pdf
","/CIKM/CIKM2010/p89.pdf
","/WSC/WSC2001/p749-hamber.pdf
","/KDD/KDD2010/p163-henderson.pdf
","/WSC/WSC2002/p35-biller.pdf
","/LOCWEB/LOCWEB2009/a11-svee.pdf
"
