ranking,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
1,"/CHI/CHI2009/p2061-zhou.pdf
","/HT/HT2005/p46-walker.pdf
","/SIGMOD/SIGMOD2010/p567-fu.pdf
","/SPLASH/SPLASH2008/p617-gabriel.pdf
","/ANCS/ANCS2010/a21-nelms.pdf
","/ISCA/ISCA2010/p210-lucia.pdf
","/CHI/CHI2010/p1281-iqbal.pdf
","/GROUP/GROUP2010/p165-morgan.pdf
","/KDD/KDD2009/p947-ye.pdf
","/SC/SC2001/p11-ross.pdf
","/UIST/UIST2004/p175-fujima.pdf
","/C3S2E/C3S2E2008/p173-rinfret.pdf
","/IUI/IUI2009/p157-gervasio.pdf
","/KDD/KDD2010/p713-steck.pdf
","/CODES/CODES2010/p205-lee.pdf
","/ISCA/ISCA2010/p314-reddi.pdf
","/HPDC/HPDC2010/p13-teodoro.pdf
","/PODC/PODC2010/p173-tan.pdf
","/ITiCSE/ITiCSE2010/p8-egan.pdf
","/ITiCSE/ITiCSE2010/p3-aberg.pdf
","/EMSOFT/EMSOFT2006/p122-anand.pdf
","/CGO/CGO2010/p180-edler-von-koch.pdf
","/NPAR/NPAR2007/p121-zelnik-manor.pdf
","/IUI/IUI2009/p395-hsiao.pdf
","/CHI/CHI2010/p35-aula.pdf
","/IUI/IUI2000/p113-garcia.pdf
","/WWW/WWW2003/p1-henzinger.pdf
","/KDD/KDD2005/p239-radlinski.pdf
","/PEWASUN/PEWASUN2010/p50-gazoni.pdf
","/SIGMETRICS/SIGMETRICS2009/p229-laoutaris.pdf
","/SAC/SAC2007/p543-jaeger.pdf
","/ICSE/ICSE2010/p65-ferrari.pdf
","/MobiCom/MobiCom2010/p341-keralapura.pdf
","/MobiCom/MobiCom2010/p73-higgins.pdf
","/MM/MM2010/p1761-vallet.pdf
","/MM/MM2010/p1507-adcock.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/OSDI/OSDI2006/p335-burrows.pdf
","/ASPLOS/ASPLOS2010/p385-feng.pdf
","/MICRO/MICRO2008/04771799.pdf
","/CCS/CCS2010/p15-christin.pdf
","/CCS/CCS2010/p270-jang.pdf
","/ASE/ASE2010/p33-buse.pdf
","/ICSE/ICSE2010/p185-latoza.pdf
","/SAC/SAC2010/p558-wibisono.pdf
","/SAC/SAC2010/p1708-fautsch.pdf
","/UIST/UIST2004/p175-fujima.pdf
","/HT/HT2010/p109-cartledge.pdf
","/WWW/WWW2010/p21-archak.pdf
","/WWW/WWW2010/p401-hao.pdf
"
2,"/GROUP/GROUP2007/p21-munkvold.pdf
","/JCDL/JCDL2001/p41-marshall.pdf
","/MobiSys/MobiSys2010/p345-puttaswamy.pdf
","/SIGUCCS/SIGUCCS2001/p97-mayer.pdf
","/ANCS/ANCS2009/p50-guo.pdf
","/PPoPP/PPoPP2003/p179-pozniansky.pdf
","/CHI/CHI2009/p1629-brumby.pdf
","/CHI/CHI2008/p1101-butler.pdf
","/SAC/SAC2004/p548-rodriguez.pdf
","/OSDI/OSDI2006/p89-joukov.pdf
","/IUI/IUI2003/p117-kray.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/IUI/IUI2000/p149-jameson.pdf
","/KDD/KDD2006/p948-yan.pdf
","/ASPLOS/ASPLOS2001/p86-wu.pdf
","/SIGMOD/SIGMOD2010/p231-tsirogiannis.pdf
","/ANCS/ANCS2007/p67-mallik.pdf
","/PODC (1)/PODC2010/p173-tan.pdf
","/SIGCSE/SIGCSE2005/p535-lewandowski.pdf
","/ICER/ICER2006/p97-kinnunen.pdf
","/DATE/DATE2009/p99-stoimenov.pdf
","/CASES/CASES2010/p87-youn.pdf
","/SIGGRAPH/SIGGRAPH2004/p294-agarwala.pdf
","/SCCG/SCCG2009/p145-brunnhuber.pdf
","/CHI/CHI2007/p407-cutrell.pdf
","/SIGCSE/SIGCSE2008/p493-allenstein.pdf
","/SIGIR/SIGIR2007/p723-kamps.pdf
","/WWW/WWW2010/p111-bennett.pdf
","/MobiHoc/MobiHoc2005/p230-lee.pdf
","/SC/SC2004/21530023.pdf
","/SIGCOMM/SIGCOMM2004/p145-jain.pdf
","/ICSE/ICSE2007/28280560.pdf
","/AAMAS/AAMAS2003/p789-ogston.pdf
","/MobiArch/MobiArch2010/p27-alperovich.pdf
","/MIR/MIR2007/p299-sebe.pdf
","/MM/MM2010/p241-adcock.pdf
","/CF/CF2008/p67-perfumo.pdf
","/SOSP/SOSP2007/p205-decandia.pdf
","/ISCA/ISCA2010/p497-dekruijf.pdf
","/PACT/PACT2006/p134-manovit.pdf
","/WPES/WPES2009/p101-gessiou.pdf
","/SIGSOFT/SIGSOFT2008/p124-koesnandar.pdf
","/MSR/MSR2008/p51-parnin.pdf
","/ESEC/ESEC2007/p361-latoza.pdf
","/PETRA/PETRA2008/a2-roy.pdf
","/CIKM/CIKM2010/p1605.pdf
","/SIGAda/SIGAda2003/p38-rosen.pdf
","/CIKM/CIKM2006/p435-nanavati.pdf
","/ICSE/ICSE2009/05070509.pdf
","/SIGIR/SIGIR2009/p484.pdf
"
3,"/CHI/CHI2007/p219-tang.pdf
","/HT/HT2007/p123-schraefel.pdf
","/WWW/WWW2007/p341-yang.pdf
","/PLoP/PLoP2009/a7-manns.pdf
","/ANCS/ANCS2006/p143-shi.pdf
","/SOSP/SOSP2005/p221-yu.pdf
","/CHI/CHI2004/p159-hourizi.pdf
","/CSCW/CSCW2008/p47-kriplean.pdf
","/KDD/KDD2003/p523-gama.pdf
","/SIGMETRICS/SIGMETRICS2006/p3-thereska.pdf
","/IUI/IUI2000/p21-bauer.pdf
","/CIKM/CIKM2010/p1381.pdf
","/TARK/TARK2009/p99-devanur.pdf
","/RECOMB/RECOMB2002/p321-zien.pdf
","/DATE/DATE2010/p914-ferreira.pdf
","/SIGCOMM/SIGCOMM2009/p291-raiciu.pdf
","/CIKM/CIKM2009/p1177.pdf
","/ICAC/ICAC2009/p13-jiang.pdf
","/ITiCSE/ITiCSE2007/p196-cutts.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/CODES/CODES2008/p55-frigerio.pdf
","/LCTES/LCTES2004/p211-debus.pdf
","/I3D/I3D2001/p217-ashikhmin.pdf
","/HRI/HRI2009/p37-ferland.pdf
","/SUITE/SUITE2009/05070023.pdf
","/ASSETS/ASSETS2000/p142-smith.pdf
","/JCDL/JCDL2002/p46-pinto.pdf
","/WSDM/WSDM2010/p181-dupret.pdf
","/SenSys/SenSys2004/p108-seada.pdf
","/SIGCOMM/SIGCOMM2004/p145-jain.pdf
","/MobiWac/MobiWac2010/p21-schleich.pdf
","/ICSE/ICSE2005/p352-ruthruff.pdf
","/IUI/IUI2003/p101-kim.pdf
","/NetGames/NetGames2002/p36-bauer.pdf
","/MM/MM2010/p1773-hanjalic.pdf
","/MM/MM2010/p1603-halvorsen.pdf
","/PPoPP/PPoPP2010/p349-porter.pdf
","/SIGCOMM/SIGCOMM2005/p73-rhea.pdf
","/ISCA/ISCA2005/22700148.pdf
","/ISCA/ISCA2004/21430114.pdf
","/DocEng/DocEng2008/p141-oliveira.pdf
","/CCS/CCS2010/p595-zhang.pdf
","/ESEC/ESEC2007/p165-cottrell.pdf
","/CHI/CHI2009/p1569-ko.pdf
","/MDM2005/p137-anagnostopoulos.pdf
","/CIKM/CIKM2009/p1267.pdf
","/ASE/ASE2008/04639341.pdf
","/KDD/KDD2004/p118-faloutsos.pdf
","/CHI/CHI2006/p1037-cosley.pdf
","/LOCWEB/LOCWEB2010/a8-oliveirinha.pdf
"
4,"/CHI/CHI2010/p1879-wilcox.pdf
","/SIGDOC/SIGDOC2006/p43-spinuzzi.pdf
","/ICSE/ICSE2001/p25-ricca.pdf
","/SIGUCCS/SIGUCCS2007/p240-mcintosh-elkins.pdf
","/CASES/CASES2002/p202-melvin.pdf
","/PPoPP/PPoPP2009/p173-ratanaworabhan.pdf
","/CHI/CHI2007/p243-salvucci.pdf
","/CHI/CHI2009/p1481-thom-santelli.pdf
","/ICIS/ICIS2009/p649-huang.pdf
","/CASES/CASES2008/p255-hom.pdf
","/CHI/CHI2008/p1793-kruk.pdf
","/EDBT/EDBT2010/p525-kim.pdf
","/UIST/UIST2005/p173-gajos.pdf
","/GECCO/GECCO2008/p1259-nunkesser.pdf
","/EMSOFT/EMSOFT2007/p154-baek.pdf
","/DaMon/DaMon2010/p47-lang.pdf
","/SPLASH/SPLASH2010/p806-rinard.pdf
","/CASCON/CASCON2007/p152-munawar.pdf
","/SIGCSE/SIGCSE2008/p383-sturtevant.pdf
","/ICER/ICER2008/p79-kinnunen.pdf
","/WSC/WSC2005/p427-kemper.pdf
","/PACT/PACT2006/p285-baev.pdf
","/NPAR/NPAR2004/p121-sykora.pdf
","/VIS/VIS2001/p437-zhang.pdf
","/SIGIR/SIGIR2007/p159-white.pdf
","/IUI/IUI2010/p219-gross.pdf
","/SIGIR/SIGIR2002/p121-hardy.pdf
","/SIGIR/SIGIR2008/p163.pdf
","/CoNext/CoNext2008/a24-zhang.pdf
","/SIGMETRICS/SIGMETRICS2008/p61-kim.pdf
","/SIGMOD/SIGMOD2006/p611-papaemmanouil.pdf
","/WoSQ/WoSQ2006/p15-damm.pdf
","/KDD/KDD2003/p589-koren.pdf
","/CHANTS/CHANTS2007/p75-may.pdf
","/MIR/MIR2010/p487-ramzan.pdf
","/MM/MM2008/p489-villa.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/NSDI2005/p18-sherman.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/PLDI/PLDI2007/p223-ding.pdf
","/EDBT/EDBT2008/p630-giuffrida.pdf
","/PLDI/PLDI2008/p193-mccamant.pdf
","/ASE/ASE2010/p43-sridhara.pdf
","/SUITE/SUITE2010/p29-latoza.pdf
","/AAMAS/AAMAS2008/p813-van_diggelen.pdf
","/SIGIR/SIGIR2007/p455-azzopardi.pdf
","/SIGMOD/SIGMOD2007/p1125-gupta.pdf
","/KDD/KDD2005/p177-leskovec.pdf
","/SAC/SAC2007/p1422-host.pdf
","/MIR/MIR2006/p89-jaffe.pdf
"
5,"/CHI/CHI2010/p1787-chen.pdf
","/NordiCHI/NordiCHI2008/p266-lindroth.pdf
","/IUI/IUI2008/p139-tuchinda.pdf
","/SIGUCCS/SIGUCCS2005/p218-mcintosh-elkins.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/MICRO/MICRO2010/4299a287.pdf
","/CHI/CHI2006/p917-vannimwegen.pdf
","/SIGDOC/SIGDOC2004/p110-spinuzzi.pdf
","/SAC/SAC2006/p37-lindgren.pdf
","/SC/SC2008/a42-shan.pdf
","/IUI/IUI2003/p181-stamant.pdf
","/KDD/KDD2009/p947-ye.pdf
","/EC/EC2005/p155-gentry.pdf
","/KDD/KDD2007/p95-bell.pdf
","/SAC/SAC2009/p1621-liu.pdf
","/HPDC/HPDC2010/p435-turcu.pdf
","/HPDC/HPDC2009/p1-yi.pdf
","/CCS/CCS2009/p314-ali.pdf
","/SIGCSE/SIGCSE2005/p361-guzdial.pdf
","/SIGCSE/SIGCSE2004/p12-waite.pdf
","/DAC/DAC2006/p37-tanimoto.pdf
","/GLSVLSI/GLSVLSI2007/p138-robinson.pdf
","/NPAR/NPAR2008/p39-xu.pdf
","/MM/MM2010/p371-decamp.pdf
","/IIiX/IIiX2010/p371-qu.pdf
","/Web3D/Web3D2003/p147-esuli.pdf
","/SIGIR/SIGIR2010/p611.pdf
","/CIKM/CIKM2007/p175.pdf
","/MobiHoc/MobiHoc2001/p279-larsson.pdf
","/MobiSys/MobiSys2003/p71-li.pdf
","/WWW/WWW2007/p893-sen.pdf
","/ISSTA/ISSTA2004/p86-ostrand.pdf
","/SIGMOD/SIGMOD2004/p755-chakrabarti.pdf
","/CCS/CCS2009/p223-traynor.pdf
","/MIR/MIR2005/p3-jaimes.pdf
","/WWW/WWW2010/p1281-mori.pdf
","/CF/CF2009/p11-pant.pdf
","/PLoP/PLoP2009/a14-son.pdf
","/CF/CF2010/p319-borodin.pdf
","/IWMSE/IWMSE2008/p23-oancea.pdf
","/CCS/CCS2007/p375-franklin.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/ISSTA/ISSTA2010/p119-gruska.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/MobiDE/MobiDE2009/p41-tsetsos.pdf
","/ASE/ASE2010/p245-gibiec.pdf
","/IUI/IUI2008/p139-tuchinda.pdf
","/WSC/WSC2008/p1020-beichl.pdf
","/PROMISE/PROMISE2009/a2-menzies.pdf
","/UbiComp/UbiComp2010/p109-lane.pdf
"
6,"/GROUP/GROUP2007/p1-schmidt.pdf
","/JCDL/JCDL2001/p426-crane.pdf
","/PPoPP/PPoPP2003/p131-chen.pdf
","/SIGUCCS/SIGUCCS2002/p165-yohe.pdf
","/MICRO/MICRO2009/p280-das.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
","/MobileHCI/MobileHCI2010/p113-weinberg.pdf
","/SIGDOC/SIGDOC2009/p315-morgan.pdf
","/SAC/SAC2004/p649-ferrer-troyano.pdf
","/ASPLOS/ASPLOS2000/p200-wahbe.pdf
","/AVI/AVI2008/p347-rossi.pdf
","/SIGMOD/SIGMOD2001/p47-rinfret.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/KDD/KDD2007/p667-song.pdf
","/OSDI/OSDI2000/p3-brown.pdf
","/WIDM/WIDM2007/p49-gounaris.pdf
","/PACT/PACT2010/p249-zhuravlev.pdf
","/KDD/KDD2004/p276-shavlik.pdf
","/SIGCSE/SIGCSE2007/p556-purewal.pdf
","/ACMSE/ACMSE2008/p103-hunt.pdf
","/EMSOFT/EMSOFT2004/p95-almeida.pdf
","/LCTES/LCTES2009/p41-lee.pdf
","/SIGGRAPH/SIGGRAPH2006/p847-rother.pdf
","/GIS/GIS2009/p111-jacobs.pdf
","/SIGIR/SIGIR2010/p34.pdf
","/ICER/ICER2005/p123-ihantola.pdf
","/JCDL/JCDL2001/p259-geffet.pdf
","/CIKM/CIKM2010/p1469.pdf
","/MSWIM/MSWIM2006/p155-kim.pdf
","/HPDC/HPDC2007/p137-weigle.pdf
","/CHANTS/CHANTS2010/p21-picu.pdf
","/ICSE/ICSE2000/p428-leszak.pdf
","/CIKM/CIKM2000/p20-liu.pdf
","/MobiSys/MobiSys2006/p205-chandra.pdf
","/MindTrek/MindTrek2010/p187-prata.pdf
","/SAICSIT/SAICSIT2009/p60-patel.pdf
","/DaMon/DaMon2008/p35-johnson.pdf
","/ERLANG/ERLANG2010/p33-fritchie.pdf
","/MICRO/MICRO2006/27320038.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/CSCW/CSCW2000/p49-bowers.pdf
","/CCS/CCS2010/p585-chaudhuri.pdf
","/ICSE/ICSE2008/p11-reiss.pdf
","/SIGSOFT/SIGSOFT2006/p23-sillito.pdf
","/Middleware/Middleware2009/a13-massaguer.pdf
","/SIGIR/SIGIR2007/p15-bai.pdf
","/EDBT/EDBT2010/p717-turker.pdf
","/CoNext/CoNext2009/p157-puttaswamy.pdf
","/KDD/KDD2007/p959-kohavi.pdf
","/WWW/WWW2008/p297-kennedy.pdf
"
7,"/CSCW/CSCW2006/p59-munkvold.pdf
","/NSPW/NSPW2009/p71-peisert.pdf
","/WWW/WWW2006/p553-irmak.pdf
","/PLoP/PLoP2009/a8-rising.pdf
","/PRESTO/PRESTO2010/a2-dobrescu.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
","/BCSHCI/BCSHCI2007/p11-brumby.pdf
","/ICLS/ICLS2004/p278-koschmann.pdf
","/GIS/GIS2005/p87-beeri.pdf
","/ASPDAC/ASPDAC2010/p19-hung.pdf
","/Web3D/Web3D2002/p145-chittaro.pdf
","/SIGMOD/SIGMOD2008/p67-bansal.pdf
","/AAMAS/AAMAS2009/p899-lisy.pdf
","/MIR/MIR2010/p211-gawalt.pdf
","/LCTES/LCTES2007/p185-ning.pdf
","/IMC/IMC2010/p1-li.pdf
","/ICS/ICS2010/p95-linderman.pdf
","/KDD/KDD2005/p516-yang.pdf
","/ITiCSE/ITiCSE2009/p94-curzon.pdf
","/SIGCSE/SIGCSE2001/p282-bergin.pdf
","/CODES/CODES2009/p433-schliecker.pdf
","/LCTES/LCTES2003/p244-desutter.pdf
","/MM/MM2002/p355-bornard.pdf
","/IUI/IUI2008/p60-zhang.pdf
","/JCDL/JCDL2010/p69.pdf
","/SIGCSE/SIGCSE2004/p432-goldman.pdf
","/SIGIR/SIGIR2006/p649-he.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/MobiHoc/MobiHoc2005/p414-cerpa.pdf
","/CoNext/CoNext2010/a4-applegate.pdf
","/CoNext/CoNext2005/p71-chaudet.pdf
","/ICSE/ICSE2006/p401-lange.pdf
","/KDD/KDD2007/p510-moser.pdf
","/SC/SC2009/a34-kissel.pdf
","/HT/HT2009/p119-steichen.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/ICS/ICS2009/p421-pant.pdf
","/NOSSDAV/NOSSDAV2006/a3-van_den_bossche.pdf
","/CGO/CGO2005/22980243.pdf
","/PADTAD/PADTAD2010/p26-teixeira.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/WODA/WODA2006/p3-orso.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/ESEC/ESEC2007/p341-fritz.pdf
","/MobiDE/MobiDE2007/p41-sanchez.pdf
","/CIKM/CIKM2008/p489.pdf
","/AVI/AVI2002/p251-jamil.pdf
","/KDD/KDD2006/p245-koren.pdf
","/GECCO/GECCO2009/p2597-bentley.pdf
","/JCDL/JCDL2010/p263.pdf
"
8,"/CSCW/CSCW2008/p205-tang.pdf
","/CSCW/CSCW2000/p31-cohen.pdf
","/DOLAP/DOLAP2009/p49-thomsen.pdf
","/DocEng/DocEng2008/p141-oliveira.pdf
","/ANCS/ANCS2005/p145-shi.pdf
","/ISCA/ISCA2003/p110-prvulovic.pdf
","/CHI/CHI2007/p41-gluck.pdf
","/GROUP/GROUP2007/p167-kriplean.pdf
","/VLDB/VLDB2004/p816-beeri.pdf
","/SAC/SAC2004/p1711-chang.pdf
","/CHI/CHI2009/p1859-toomim.pdf
","/SIGMOD/SIGMOD2010/p495-vernica.pdf
","/IUI/IUI2005/p191-blythe.pdf
","/KDD/KDD2006/p157-forman.pdf
","/ASPLOS/ASPLOS2009/p229-gupta.pdf
","/MICRO/MICRO2009/p447-karpuzcu.pdf
","/HPDC/HPDC2007/p137-weigle.pdf
","/KDD/KDD2006/p157-forman.pdf
","/ITiCSE/ITiCSE2006/p53-plimmer.pdf
","/ICSE/ICSE2006/p655-port.pdf
","/CODES/CODES2007/p173-haid.pdf
","/CGO/CGO2009/3576a254.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2009/a124-chen.pdf
","/AVI/AVI2010/p33-forlines.pdf
","/SIGIR/SIGIR2010/p845.pdf
","/ECCE/ECCE2009/a29-wassink.pdf
","/WWW/WWW2009/p971-pasternack.pdf
","/WSDM/WSDM2009/p182-diaz.pdf
","/SASN/SASN2006/p135-radosavac.pdf
","/SIGCOMM/SIGCOMM2004/p107-sripanidkulchai.pdf
","/SIGMETRICS/SIGMETRICS2008/p61-kim.pdf
","/CASCON/CASCON2001/p7-kelly.pdf
","/GECCO/GECCO2009/p1243-lipczak.pdf
","/ValueTools/ValueTools2007/a66-remuss.pdf
","/MM/MM2010/p1751-messina.pdf
","/MM/MM2007/p228-koh.pdf
","/SPLASH/SPLASH2004/p251-hauswirth.pdf
","/OSDI/OSDI2006/p351-peterson.pdf
","/PACT/PACT2007/29440073.pdf
","/MICRO/MICRO2010/4299a287.pdf
","/SOUPS/SOUPS2010/a16-de_luca.pdf
","/SPLASH/SPLASH2007/p611-rinard.pdf
","/PLDI/PLDI2007/p425-lerner.pdf
","/ICSE/ICSE2006/p989-ko.pdf
","/TARK/TARK2009/p99-devanur.pdf
","/SIGIR/SIGIR2006/p43-balog.pdf
","/EDBT/EDBT2008/p690-saint-paul.pdf
","/SAC/SAC2005/p1231-mcpherson.pdf
","/AAMAS/AAMAS2008/p1473-bazzan.pdf
","/WI/WI2006/274700522.pdf
"
9,"/GROUP/GROUP2005/p168-bardram.pdf
","/JCDL/JCDL2010/p283.pdf
","/GIS/GIS2003/p154-iwerks.pdf
","/GROUP/GROUP2007/p371-lee.pdf
","/DAC/DAC2005/p712-luo.pdf
","/PADTAD/PADTAD2010/p26-teixeira.pdf
","/CHI/CHI2010/p1475-oulasvirta.pdf
","/SIGDOC/SIGDOC2006/p43-spinuzzi.pdf
","/KDD/KDD2006/p96-calders.pdf
","/PPoPP/PPoPP2008/p153-iskra.pdf
","/AVI/AVI2004/p252-bertini.pdf
","/SIGMOD/SIGMOD2010/p555-u.pdf
","/CHI/CHI2010/p1343-kapoor.pdf
","/SIGCOMM/SIGCOMM2002/p161-medina.pdf
","/DAC/DAC2007/p212-chang.pdf
","/SC/SC2006/27000014.pdf
","/SC/SC2003/21130005.pdf
","/IMC/IMC2005/p31-soule.pdf
","/SIGCSE/SIGCSE2009/p534-kessler.pdf
","/TAPIA/TAPIA2009/p87-hundley.pdf
","/MobiWac/MobiWac2007/p99-dua.pdf
","/DATE/DATE2004/208510636.pdf
","/SIGGRAPH/SIGGRAPH2010/a51-chu.pdf
","/VRST/VRST2005/p143-sebe.pdf
","/CHI/CHI2008/p39-duggan.pdf
","/ITiCSE/ITiCSE2005/p281-krebs.pdf
","/SAC/SAC2009/p1691-hijikata.pdf
","/CIKM/CIKM2010/p1149.pdf
","/SenSys/SenSys2003/p14-woo.pdf
","/IMC/IMC2009/p202-kandula.pdf
","/CoNext/CoNext2006/a1-fischer.pdf
","/ICSE/ICSE2004/21630282.pdf
","/KDD/KDD2009/p847-vatturi.pdf
","/MobiSys/MobiSys2007/p286-ananthanarayanan.pdf
","/IIiX/IIiX2006/p176-larsen.pdf
","/SIGIR/SIGIR2003/p72-dumais.pdf
","/SC/SC2010/75590057.pdf
","/SIGAda/SIGAda2006/p71-sotirovski.pdf
","/ASPLOS/ASPLOS2007/p73-shyam.pdf
","/ASE/ASE2008/04639323.pdf
","/CoNext/CoNext2010/a19-liberatore.pdf
","/ASE/ASE2008/04639341.pdf
","/SIGSOFT/SIGSOFT2008/p124-koesnandar.pdf
","/ICSE/ICSE2009/05070532.pdf
","/Web3D/Web3D2003/p113-fabre.pdf
","/SIGIR/SIGIR2008/p243.pdf
","/AVI/AVI2004/p395-stocq.pdf
","/WSC/WSC2009/p788-beichl.pdf
","/EC/EC2010/p209-horton.pdf
","/CIKM/CIKM2008/p883.pdf
"
10,"/CHI/CHI2010/p193-klasnja.pdf
","/MindTrek/MindTrek2009/p19-lovlie.pdf
","/SIGMOD/SIGMOD2008/p1295-muller.pdf
","/DIS/DIS2008/p333-brewer.pdf
","/ISCA/ISCA2003/p300-hasan.pdf
","/PPoPP/PPoPP2007/p173-boehm.pdf
","/CHI/CHI2003/p257-hudson.pdf
","/HT/HT2007/p133-diakopoulos.pdf
","/SAC/SAC2004/p613-rahal.pdf
","/OSDI/OSDI2000/p8-vanmeter.pdf
","/AVI/AVI2004/p366-de_chiara.pdf
","/GECCO/GECCO2006/p1653-esparcia-alcazar.pdf
","/MM/MM2002/p49-teixeira.pdf
","/WSDM/WSDM2010/p131-galland.pdf
","/CODES/CODES2008/p31-lee.pdf
","/EDBT/EDBT2008/p640-mehta.pdf
","/VLDB/VLDB2003/p838-carney.pdf
","/ASIACCS/ASIACCS2008/p136-gu.pdf
","/SIGCSE/SIGCSE2006/p77-cliburn.pdf
","/SIGCSE/SIGCSE2005/p312-rebelsky.pdf
","/EMSOFT/EMSOFT2004/p175-burmester.pdf
","/LCTES/LCTES2005/p69-cooper.pdf
","/CIKM/CIKM2010/p1465.pdf
","/PETRA/PETRA2008/a27-dakopoulos.pdf
","/SIGIR/SIGIR2009/p379.pdf
","/IUI/IUI2008/p40-jin.pdf
","/JCDL/JCDL2010/p59.pdf
","/CIKM/CIKM2009/p1847.pdf
","/SASN/SASN2006/p91-kefayati.pdf
","/CHANTS/CHANTS2006/p229-seligman.pdf
","/AAMAS/AAMAS2009/p633-bowring.pdf
","/ISSTA/ISSTA2004/p65-elbaum.pdf
","/KDD/KDD2006/p257-kumar.pdf
","/WSC/WSC2002/p2022-sun.pdf
","/MIR/MIR2005/p2-sarukkai.pdf
","/JCDL/JCDL2007/p81-kan.pdf
","/PPoPP/PPoPP2003/p1-prabhu.pdf
","/SIGMOD/SIGMOD2008/p251-brantner.pdf
","/MICRO/MICRO2008/04771784.pdf
","/MICRO/MICRO2010/4299a251.pdf
","/NSPW/NSPW2006/p3-ford.pdf
","/WWW/WWW2009/p561-guha.pdf
","/ICSE/ICSE2009/05070532.pdf
","/SUITE/SUITE2009/05070023.pdf
","/HRI/HRI2008/p81-jacobsson.pdf
","/CIKM/CIKM2009/p1297.pdf
","/DocEng/DocEng2007/p53-sellman.pdf
","/KDD/KDD2008/p524-mcglohon.pdf
","/MSR/MSR2007/29500006.pdf
","/CIKM/CIKM2003/p255-amitay.pdf
"
