ranking,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
1,"/GROUP/GROUP2005/p168-bardram.pdf
","/HT/HT2007/p123-schraefel.pdf
","/IUI/IUI2000/p21-bauer.pdf
","/STOC/STOC2008/p123-juba.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/ISCA/ISCA2010/p210-lucia.pdf
","/CHI/CHI2009/p1799-jin.pdf
","/GROUP/GROUP2003/p135-bansler.pdf
","/KDD/KDD2009/p947-ye.pdf
","/VLDB/VLDB2003/p706-schindler.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/WWW/WWW2005/p245-anagnostopoulos.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/KDD/KDD2006/p96-calders.pdf
","/GECCO/GECCO2007/p2167-sullivan.pdf
","/ISLPED/ISLPED2006/p250-safi.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/PODC/PODC2010/p173-tan.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/CHI/CHI2004/p247-oulasvirta.pdf
","/SIGMETRICS/SIGMETRICS2008/p289-chaitanya.pdf
","/LCTES/LCTES2005/p127-sassone.pdf
","/NPAR/NPAR2004/p121-sykora.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2009/a174-vlasic.pdf
","/CHI/CHI2010/p35-aula.pdf
","/ITiCSE/ITiCSE2006/p48-brusilovsky.pdf
","/SIGIR/SIGIR2006/p276-soboroff.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/PEWASUN/PEWASUN2010/p50-gazoni.pdf
","/IMC/IMC2009/p202-kandula.pdf
","/SIGMOD/SIGMOD2001/p367-kalnis.pdf
","/ICSE/ICSE2010/p65-ferrari.pdf
","/SIGCOMM/SIGCOMM2003/p137-estan.pdf
","/MobiCom/MobiCom2010/p73-higgins.pdf
","/MM/MM2008/p339-hopfgartner.pdf
","/JCDL/JCDL2007/p81-kan.pdf
","/PPoPP/PPoPP2007/p56-carlstrom.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/ISCA/ISCA2005/22700160.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/EC/EC2005/p155-gentry.pdf
","/Haskell/Haskell2005/p17-schrage.pdf
","/ASE/ASE2010/p33-buse.pdf
","/ICSE/ICSE2010/p185-latoza.pdf
","/SAC/SAC2010/p558-wibisono.pdf
","/JCDL/JCDL2007/p402-deng.pdf
","/UIST/UIST2005/p211-kandogan.pdf
","/HT/HT2010/p109-cartledge.pdf
","/WWW/WWW2010/p21-archak.pdf
","/WWW/WWW2010/p401-hao.pdf
"
2,"/GROUP/GROUP2005/p158-cabitza.pdf
","/DIS/DIS2006/p331-erickson.pdf
","/AAMAS/AAMAS2002/p1272-gallardo-antolin.pdf
","/AAMAS/AAMAS2004/p16.pdf
","/ANCS/ANCS2010/a21-nelms.pdf
","/ISCA/ISCA2008/3174a277.pdf
","/CHI/CHI2008/p1637-convertino.pdf
","/DIS/DIS2008/p288-ruecker.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/SC/SC2001/p11-ross.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CIKM/CIKM2010/p489.pdf
","/ML/ML2006/p63-lerner.pdf
","/KDD/KDD2000/p315-bay.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/ISCA/ISCA2003/p14-magklis.pdf
","/HPDC/HPDC2010/p119-abramson.pdf
","/PODC (1)/PODC2010/p173-tan.pdf
","/SIGCSE/SIGCSE2007/p556-purewal.pdf
","/OZCHI/OZCHI2008/p251-pearce.pdf
","/GLSVLSI/GLSVLSI2010/p401-chukhman.pdf
","/ISCA/ISCA2003/p157-huang.pdf
","/SIGGRAPH/SIGGRAPH2006/p1081-walter.pdf
","/SIGGRAPH/SIGGRAPH2010/a98-dong.pdf
","/SIGIR/SIGIR2010/p34.pdf
","/ICER/ICER2005/p123-ihantola.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/WSDM/WSDM2010/p181-dupret.pdf
","/SIGCOMM/SIGCOMM2006/p75-mahajan.pdf
","/NetGames/NetGames2003/p77-fitzek.pdf
","/SIGMOD/SIGMOD2004/p35-cormode.pdf
","/CHI/CHI2008/p1637-convertino.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/MobiArch/MobiArch2010/p27-alperovich.pdf
","/WWW/WWW2008/p1-ahn.pdf
","/JCDL/JCDL2005/p69-christel.pdf
","/CF/CF2008/p67-perfumo.pdf
","/SOSP/SOSP2009/p305-dunagan.pdf
","/ASPLOS/ASPLOS2008/p255-wells.pdf
","/CF/CF2008/p67-perfumo.pdf
","/CSCW/CSCW2000/p49-bowers.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/ICSE/ICSE2008/p451-maule.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/SACMAT/SACMAT2003/p65-strembeck.pdf
","/CIKM/CIKM2006/p208-anagnostopoulos.pdf
","/SIGMOD/SIGMOD2005/p811-choy.pdf
","/KDD/KDD2006/p611-kumar.pdf
","/WSC/WSC2005/p2280-stahl.pdf
","/WWW/WWW2009/p811-arase.pdf
"
3,"/GROUP/GROUP2007/p21-munkvold.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/CHI/CHI2007/p687-rattenbury.pdf
","/GECCO/GECCO2005/p515-funes.pdf
","/SAICSIT/SAICSIT2010/p231-nottingham.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
","/CHI/CHI2006/p917-vannimwegen.pdf
","/SIGDOC/SIGDOC2006/p142-zachry.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/SC/SC2007/a8-liao.pdf
","/SIGMOD/SIGMOD2007/p993-elhemali.pdf
","/SIGMOD/SIGMOD2003/p76-schleimer.pdf
","/EC/EC2005/p155-gentry.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/PPoPP/PPoPP2003/p73-mccurdy.pdf
","/ISCA/ISCA2009/p302-rangan.pdf
","/SIGMOD/SIGMOD2009/p165-pavlo.pdf
","/MSR/MSR2006/p126-askari.pdf
","/TAPIA/TAPIA2009/p87-hundley.pdf
","/ICSE/ICSE2006/p655-port.pdf
","/VLDB/VLDB2006/p787-tu.pdf
","/MICRO/MICRO2003/p291-swanson.pdf
","/APGV/APGV2007/p61-morvan.pdf
","/SIGGRAPH/SIGGRAPH2009/a90-wang.pdf
","/IIiX/IIiX2010/p185-dumais.pdf
","/ITiCSE/ITiCSE2009/p328-boisvert.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/KDD/KDD2005/p239-radlinski.pdf
","/SIGCOMM/SIGCOMM2006/p195-muhlbauer.pdf
","/SC/SC2004/21530023.pdf
","/SIGCOMM/SIGCOMM2005/p97-chawathe.pdf
","/CASCON/CASCON2001/p2-cysneiros.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/MobiArch/MobiArch2008/p85-dogar.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/MM/MM2010/p241-adcock.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/ASPLOS/ASPLOS2010/p385-feng.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/DIM/DIM2008/p61-jakobsson.pdf
","/PLDI/PLDI2008/p193-mccamant.pdf
","/KDD/KDD2000/p398-gersten.pdf
","/ESEC/ESEC2007/p361-latoza.pdf
","/DLS/DLS2007/p77-gonzalez.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/ISEC/ISEC2009/p3-shroff.pdf
","/SIGCOMM/SIGCOMM2003/p137-estan.pdf
","/WSC/WSC2002/p35-biller.pdf
","/JCDL/JCDL2004/p53-naaman.pdf
"
4,"/CSCW/CSCW2004/p142-hardstone.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/CHI/CHI2001/p466-borovoy.pdf
","/IMC/IMC2005/p23-kornexl.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CHI/CHI2006/p889-ludford.pdf
","/JCDL/JCDL2002/p106-weatherley.pdf
","/SC/SC2009/a55-mohror.pdf
","/SC/SC2000/a57-no.pdf
","/Haskell/Haskell2005/p17-schrage.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/AAMAS/AAMAS2009/p733-li.pdf
","/GECCO/GECCO2010/p1983-mcree.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/MICRO/MICRO2000/p202-huang.pdf
","/CGO/CGO2006/24990147.pdf
","/ICAC/ICAC2009/p13-jiang.pdf
","/ITiCSE/ITiCSE2006/p68-hamer.pdf
","/OZCHI/OZCHI2006/p167-pearce.pdf
","/CODES/CODES2005/p111-maxiaguine.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/VSSN/VSSN2006/p187-keck.pdf
","/SIGGRAPH/SIGGRAPH2006/p1081-walter.pdf
","/BCSHCI/BCSHCI2009/p252-laqua.pdf
","/SIGCSE/SIGCSE2001/p16-buck.pdf
","/JCDL/JCDL2002/p46-pinto.pdf
","/CIKM/CIKM2010/p1149.pdf
","/CHANTS/CHANTS2010/p55-doering.pdf
","/SIGCOMM/SIGCOMM2003/p137-estan.pdf
","/SIGMOD/SIGMOD2005/p383-harizopoulos.pdf
","/ICSE/ICSE2001/p81-herbsleb.pdf
","/SIGCOMM/SIGCOMM2002/p31-maennel.pdf
","/VANET/VANET2009/p23-rybicki.pdf
","/JCDL/JCDL2009/p87-halvey.pdf
","/MM/MM2004/p732-christel.pdf
","/SIGMOD/SIGMOD2008/p981-harizopoulos.pdf
","/EDBT/EDBT2008/p4-antony.pdf
","/LCTES/LCTES2005/p127-sassone.pdf
","/PLDI/PLDI2007/p223-ding.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/SPLASH/SPLASH2007/p589-avgustinov.pdf
","/KDD/KDD2006/p852-forman.pdf
","/CSCW/CSCW2004/p82-cubranic.pdf
","/ESEC/ESEC2005/p336-xu.pdf
","/SIGIR/SIGIR2004/p10-amitay.pdf
","/VLDB/VLDB2004/p1214-stata.pdf
","/CHI/CHI2010/p213-freire.pdf
","/WSC/WSC2009/p1-schriber.pdf
","/MM/MM2009/p1021-hao.pdf
"
5,"/CSCW/CSCW2002/p176-bossen.pdf
","/HT/HT2000/p220-dieberger.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/SAC/SAC2007/p586-walters.pdf
","/SIGCOMM/SIGCOMM2007/p73-mudigonda.pdf
","/SPLASH/SPLASH2007/p695-grossman.pdf
","/ICSE/ICSE2001/p81-herbsleb.pdf
","/CHI/CHI2004/p247-oulasvirta.pdf
","/KDD/KDD2000/p315-bay.pdf
","/SC/SC2004/21530052.pdf
","/SPLASH/SPLASH2005/p385-goldsmith.pdf
","/SIGMOD/SIGMOD2009/p429-hadjieleftheriou.pdf
","/ICML/ICML2004/p90-wierstra.pdf
","/GECCO/GECCO2009/p1139-vanneschi.pdf
","/GECCO/GECCO2010/p1227-colmenar.pdf
","/PLDI/PLDI2003/p49-xie.pdf
","/SIGMOD/SIGMOD2004/p395-ives.pdf
","/IMC/IMC2005/p31-soule.pdf
","/ITiCSE/ITiCSE2006/p53-plimmer.pdf
","/WoSQ/WoSQ2005/p70-ziemer.pdf
","/SC/SC2008/a13-park.pdf
","/GLSVLSI/GLSVLSI2010/p401-chukhman.pdf
","/SIGGRAPH/SIGGRAPH2007/a20-breslav.pdf
","/SIGGRAPH/SIGGRAPH2010/a40-beeler.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
","/ITiCSE/ITiCSE2005/p59-kolling.pdf
","/JCDL/JCDL2007/p402-deng.pdf
","/CIKM/CIKM2007/p175.pdf
","/SIGCOMM/SIGCOMM2000/p57-breslau.pdf
","/ESEC/ESEC2007/p415-calegari.pdf
","/SIGMOD/SIGMOD2006/p683-agrawal.pdf
","/KDD/KDD2006/p852-forman.pdf
","/SIGMETRICS/SIGMETRICS2005/p327-donnet.pdf
","/SIGCOMM/SIGCOMM2003/p27-fall.pdf
","/MM/MM2007/p569-singh.pdf
","/CIVR/CIVR2008/p447-christel.pdf
","/VLDB/VLDB2007/p1150-stonebraker.pdf
","/SIGCOMM/SIGCOMM2005/p73-rhea.pdf
","/MICRO/MICRO2008/04771809.pdf
","/PPoPP/PPoPP2010/p67-dalessandro.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/GROUP/GROUP2005/p61-reichling.pdf
","/SIGSOFT/SIGSOFT2006/p23-sillito.pdf
","/MobiDE/MobiDE2007/p41-sanchez.pdf
","/SAC/SAC2007/p872-savoy.pdf
","/ICSE/ICSE2005/p596-terbeek.pdf
","/KDD/KDD2005/p177-leskovec.pdf
","/AAMAS/AAMAS2008/p1063-jordan.pdf
","/WWW/WWW2008/p297-kennedy.pdf
"
6,"/CSCW/CSCW2006/p59-munkvold.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/IUI/IUI2008/p389-pedersen.pdf
","/KDD/KDD2006/p44-backstrom.pdf
","/ANCS/ANCS2009/p50-guo.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
","/CHI/CHI2004/p271-adamczyk.pdf
","/ICLS/ICLS2010/p667-hackbarth.pdf
","/iiWAS/iiWAS2009/p269-ykhlef.pdf
","/ICS/ICS2006/p97-marazakis.pdf
","/CIKM/CIKM2008/p3.pdf
","/SIGMOD/SIGMOD2008/p1031-shen.pdf
","/ICML/ICML2008/p256-doshi.pdf
","/VLDB/VLDB2007/p471-wu.pdf
","/CODES/CODES2010/p205-lee.pdf
","/ISLPED/ISLPED2002/p255-baniasadi.pdf
","/CF/CF2008/p67-perfumo.pdf
","/IUI/IUI2010/p1-park.pdf
","/ITiCSE/ITiCSE2010/p3-aberg.pdf
","/CSCW/CSCW2004/p378-twidale.pdf
","/LCTES/LCTES2009/p137-gracioli.pdf
","/CGO/CGO2006/24990147.pdf
","/CIVR/CIVR2007/p194-revaud.pdf
","/I3D/I3D2006/p71-eisemann.pdf
","/JCDL/JCDL2008/p197-milne.pdf
","/SIGCSE/SIGCSE2004/p432-goldman.pdf
","/WWW/WWW2010/p361-forman.pdf
","/SIGIR/SIGIR2009/p35.pdf
","/MobiHoc/MobiHoc2005/p230-lee.pdf
","/SIGCOMM/SIGCOMM2004/p145-jain.pdf
","/SIGMOD/SIGMOD2003/p491-madden.pdf
","/KDD/KDD2000/p398-gersten.pdf
","/SIGCOMM/SIGCOMM2006/p315-bonomi.pdf
","/NSDR/NSDR2010/a6-keshav.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/CIVR/CIVR2007/p486-christel.pdf
","/SPLASH/SPLASH2003/p388-harris.pdf
","/SOSP/SOSP2003/p29-ghemawat.pdf
","/ISCA/ISCA2004/21430376.pdf
","/PPoPP/PPoPP2007/p56-carlstrom.pdf
","/WiSec/WiSec2008/p220-roth.pdf
","/SESS/SESS2007/29520002.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/CHI/CHI2009/p1569-ko.pdf
","/PETRA/PETRA2008/a2-roy.pdf
","/ASE/ASE2010/p245-gibiec.pdf
","/UIST/UIST2000/p191-olsen.pdf
","/CIKM/CIKM2006/p435-nanavati.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/SAC/SAC2006/p997-kramer.pdf
"
7,"/DIS/DIS2008/p40-pedersen.pdf
","/WWW/WWW2008/p11-yesilada.pdf
","/VLDB/VLDB2004/p1214-stata.pdf
","/KCAP/KCAP2001/p147-sproat.pdf
","/CASES/CASES2002/p202-melvin.pdf
","/MSPC/MSPC2006/p82-hindman.pdf
","/CHI/CHI2005/p919-oulasvirta.pdf
","/CSCW/CSCW2008/p495-danis.pdf
","/KDD/KDD2006/p96-calders.pdf
","/SC/SC2009/a21-bent.pdf
","/SIGMOD/SIGMOD2008/p147-agrawal.pdf
","/SIGIR/SIGIR2002/p121-hardy.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/GECCO/GECCO2008/p1259-nunkesser.pdf
","/ISMM/ISMM2006/p115-cheadle.pdf
","/CF/CF2008/p129-romanescu.pdf
","/ICS/ICS2002/p252-pingali.pdf
","/HPDC/HPDC2007/p85-sandholm.pdf
","/DIS/DIS2002/p64-elliott.pdf
","/ECCE/ECCE2009/a27-pommeranz.pdf
","/DEBS/DEBS2010/p116-roitman.pdf
","/CGO/CGO2008/p84-lee.pdf
","/I3D/I3D2006/p71-eisemann.pdf
","/SIGGRAPH/SIGGRAPH2006/p762-gu.pdf
","/JCDL/JCDL2009/p313-kules.pdf
","/HT/HT2000/p49-fischer.pdf
","/SIGIR/SIGIR2008/p387.pdf
","/SIGIR/SIGIR2008/p331.pdf
","/SIGCOMM/SIGCOMM2006/p183-laskowski.pdf
","/CIKM/CIKM2005/p221-zhou.pdf
","/SYSTOR/SYSTOR2011/a5-wildani.pdf
","/SIGCOMM/SIGCOMM2009/p243-kandula.pdf
","/SIGCOMM/SIGCOMM2009/p315-agarwal.pdf
","/MobiCom/MobiCom2007/p215-rybicki.pdf
","/AAMAS/AAMAS2002/p1272-gallardo-antolin.pdf
","/CIVR/CIVR2007/p41-haubold.pdf
","/PPoPP/PPoPP2010/p67-dalessandro.pdf
","/SIGCOMM/SIGCOMM2006/p315-bonomi.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/SPLASH/SPLASH2003/p388-harris.pdf
","/CHI/CHI2008/p197-jakobsson.pdf
","/ISSTA/ISSTA2007/p196-clause.pdf
","/ICSE/ICSE2010/p15-gabel.pdf
","/SUITE/SUITE2010/p29-latoza.pdf
","/Q2SWinet/Q2SWinet2008/p91-tavakolifard.pdf
","/CIKM/CIKM2009/p1903.pdf
","/ICFP/ICFP2007/p141-plasmeijer.pdf
","/CoNext/CoNext2009/p241-iliofotou.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/JCDL/JCDL2001/p426-crane.pdf
"
8,"/CSCW/CSCW2008/p205-tang.pdf
","/CHI/CHI2007/p229-billman.pdf
","/Haskell/Haskell2005/p17-schrage.pdf
","/ICML/ICML2009/p25-andrzejewski.pdf
","/CCS/CCS2004/p2-dreger.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/ACMSE/ACMSE2004/p128-booker.pdf
","/GROUP/GROUP2007/p187-white.pdf
","/LCTES/LCTES2009/p50-leather.pdf
","/SIGMETRICS/SIGMETRICS2006/p3-thereska.pdf
","/CHI/CHI2010/p1343-kapoor.pdf
","/SIGMOD/SIGMOD2008/p67-bansal.pdf
","/EDBT/EDBT2010/p382-bruno.pdf
","/ICML/ICML2004/p379-rosencrantz.pdf
","/EMSOFT/EMSOFT2007/p154-baek.pdf
","/PACT/PACT2008/p177-meng.pdf
","/CLADE/CLADE2007/p1-gardner.pdf
","/KDD/KDD2005/p516-yang.pdf
","/ITiCSE/ITiCSE2010/p8-egan.pdf
","/DIS/DIS2000/p39-jones.pdf
","/DAC/DAC2000/p357-macchiarulo.pdf
","/CGO/CGO2008/p64-salverda.pdf
","/NPAR/NPAR2008/p89-bezerra.pdf
","/SIGGRAPH/SIGGRAPH2010/a61-hasan.pdf
","/NordiCHI/NordiCHI2008/p249-langer.pdf
","/SoftVis/SoftVis2006/p197-loboda.pdf
","/SIGIR/SIGIR2004/p10-amitay.pdf
","/SIGIR/SIGIR2010/p451.pdf
","/NetGames/NetGames2003/p77-fitzek.pdf
","/SYSTOR/SYSTOR2011/a5-wildani.pdf
","/SIGMOD/SIGMOD2004/p395-ives.pdf
","/WSC/WSC2002/p35-biller.pdf
","/SIGCOMM/SIGCOMM2006/p75-mahajan.pdf
","/ICSE/ICSE2004/21630017.pdf
","/MM/MM2002/p49-teixeira.pdf
","/MIR/MIR2006/p51-wilkins.pdf
","/ICS/ICS2009/p421-pant.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/WPES/WPES2006/p9-hopper.pdf
","/PLDI/PLDI2003/p141-liblit.pdf
","/GECCO/GECCO2010/p1299-mayfield.pdf
","/ICSE/ICSE2007/28280344.pdf
","/AAMAS/AAMAS2002/p1231-edmonds.pdf
","/CIKM/CIKM2006/p559-pickens.pdf
","/WWW/WWW2010/p951-vankleek.pdf
","/SYSTOR/SYSTOR2011/a5-wildani.pdf
","/EC/EC2001/p58-chen.pdf
","/SIGDOC/SIGDOC2001/p22-benelli.pdf
"
9,"/CSCW/CSCW2006/p25-wilson.pdf
","/SIGDOC/SIGDOC2001/p193-kim.pdf
","/IUI/IUI2006/p78-tomasic.pdf
","/ICFP/ICFP2010/p357-fischer.pdf
","/ANCS/ANCS2009/p30-becchi.pdf
","/PPoPP/PPoPP2008/p237-felber.pdf
","/CHI/CHI2001/p144-mamykina.pdf
","/PDC/PDC2006/p87-kanstrup.pdf
","/VLDB/VLDB2004/p13-johnson.pdf
","/SC/SC2010/75590035.pdf
","/WWW/WWW2007/p391-pandit.pdf
","/SIGMOD/SIGMOD2003/p157-mamoulis.pdf
","/ICSE/ICSE2010/p445-reisner.pdf
","/VLDB/VLDB2004/p180-kifer.pdf
","/CGO/CGO2006/24990147.pdf
","/CGO/CGO2006/24990147.pdf
","/SC/SC2009/a17-frings.pdf
","/SC/SC2009/a55-mohror.pdf
","/ITiCSE/ITiCSE2002/p130-meisalo.pdf
","/ICSE/ICSE2006/p661-stankovic.pdf
","/CASES/CASES2001/p158-aditya.pdf
","/TAPIA/TAPIA2005/p36-araiza.pdf
","/APGV/APGV2007/p83-boucheny.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2008/a133-holroyd.pdf
","/JCDL/JCDL2007/p117-zhang.pdf
","/IUI/IUI2008/p40-jin.pdf
","/CIKM/CIKM2010/p159.pdf
","/SIGIR/SIGIR2008/p163.pdf
","/AAMAS/AAMAS2008/p647-maheswaran.pdf
","/AINTECH/AINTECH2008/p103-sandulescu.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/WoSQ/WoSQ2005/p70-ziemer.pdf
","/VLDB/VLDB2004/p13-johnson.pdf
","/ASPLOS/ASPLOS2004/p190-kubiatowicz.pdf
","/WI/WI2006/274700815.pdf
","/GECCO/GECCO2010/p1299-mayfield.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/ICSE/ICSE2010/p445-reisner.pdf
","/CGO/CGO2006/24990147.pdf
","/C3S2E/C3S2E2010/p23-noel.pdf
","/KDD/KDD2007/p290-friedland.pdf
","/SIGSOFT/SIGSOFT2008/p36-bodden.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/CHASE/CHASE2010/p72-latoza.pdf
","/IIiX/IIiX2006/p79-bierig.pdf
","/SIGIR/SIGIR2002/p283-carmel.pdf
","/CHI/CHI2008/p607-terry.pdf
","/KDD/KDD2006/p357-rattigan.pdf
","/WWW/WWW2009/p121-bennett.pdf
","/WWW/WWW2010/p1289-ren.pdf
"
10,"/CHI/CHI2007/p219-tang.pdf
","/HT/HT2010/p29-kawase.pdf
","/IUI/IUI2000/p44-budzik.pdf
","/STOC/STOC2004/p623-halpern.pdf
","/ANCS/ANCS2009/p173-wun.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/CSCW/CSCW2000/p319-herbsleb.pdf
","/NordiCHI/NordiCHI2008/p419-cabrera.pdf
","/CHI/CHI2008/p835-grimes.pdf
","/ASPLOS/ASPLOS2009/p121-tam.pdf
","/SIGMOD/SIGMOD2004/p659-markl.pdf
","/EDBT/EDBT2009/p450-sarawagi.pdf
","/ICML/ICML2009/p1217-zang.pdf
","/SIGIR/SIGIR2009/p524.pdf
","/ISCA/ISCA2006/26080142.pdf
","/CF/CF2008/p209-rangasamy.pdf
","/SPLASH/SPLASH2005/p297-arnold.pdf
","/MoMM/MoMM2009/p277-puente.pdf
","/ITiCSE/ITiCSE2002/p195-bergin.pdf
","/CSCW/CSCW2004/p304-halverson.pdf
","/WSC/WSC2005/p427-kemper.pdf
","/LCTES/LCTES2005/p69-cooper.pdf
","/SIGGRAPH/SIGGRAPH2004/p712-paris.pdf
","/I3D/I3D2005/p117-hegeman.pdf
","/CHI/CHI2007/p407-cutrell.pdf
","/SoftVis/SoftVis2010/p153-helminen.pdf
","/SIGIR/SIGIR2006/p649-he.pdf
","/CIKM/CIKM2009/p1629.pdf
","/FPGA/FPGA2006/p169-eguro.pdf
","/SIGCOMM/SIGCOMM2004/p107-sripanidkulchai.pdf
","/CASCON/CASCON2005/p254-shao.pdf
","/CIKM/CIKM2003/p169-alonso.pdf
","/SIGMOD/SIGMOD2010/p495-vernica.pdf
","/SIGCOMM/SIGCOMM2007/p1-casado.pdf
","/NordiCHI/NordiCHI2010/p663-gomes.pdf
","/CHI/CHI2009/p547-lichtschlag.pdf
","/C3S2E/C3S2E2010/p23-noel.pdf
","/EDBT/EDBT2009/p851-lengu.pdf
","/ISCA/ISCA2010/p497-dekruijf.pdf
","/PACT/PACT2010/p285-zyulkyarov.pdf
","/SOUPS/SOUPS2010/a6-ion.pdf
","/PLDI/PLDI2005/p117-avgustinov.pdf
","/CHI/CHI2007/p687-rattenbury.pdf
","/SIGMOD/SIGMOD2003/p1-ullman.pdf
","/ECCE/ECCE2009/a13-salembier.pdf
","/CIKM/CIKM2001/p279-ghani.pdf
","/PPPJ/PPPJ2006/p163-murk.pdf
","/ESEC/ESEC2007/p415-calegari.pdf
","/AAMAS/AAMAS2010/p1273-pardoe.pdf
","/MM/MM2007/p631-kennedy.pdf
"
