ranking,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
1,"/CHI/CHI2009/p2061-zhou.pdf
","/HT/HT2007/p123-schraefel.pdf
","/SIGMOD/SIGMOD2010/p567-fu.pdf
","/DocEng/DocEng2008/p141-oliveira.pdf
","/ANCS/ANCS2010/a21-nelms.pdf
","/ISCA/ISCA2010/p210-lucia.pdf
","/CHI/CHI2010/p1281-iqbal.pdf
","/CSCW/CSCW2008/p47-kriplean.pdf
","/KDD/KDD2009/p947-ye.pdf
","/SC/SC2001/p11-ross.pdf
","/IUI/IUI2009/p157-gervasio.pdf
","/KDD/KDD2009/p947-ye.pdf
","/AAMAS/AAMAS2010/p341-zang.pdf
","/KDD/KDD2010/p713-steck.pdf
","/CODES/CODES2010/p205-lee.pdf
","/ISCA/ISCA2010/p314-reddi.pdf
","/HPDC/HPDC2010/p13-teodoro.pdf
","/PODC/PODC2010/p173-tan.pdf
","/ITiCSE/ITiCSE2010/p8-egan.pdf
","/ITiCSE/ITiCSE2010/p3-aberg.pdf
","/EMSOFT/EMSOFT2006/p122-anand.pdf
","/LCTES/LCTES2005/p69-cooper.pdf
","/I3D/I3D2001/p217-ashikhmin.pdf
","/SIGGRAPH/SIGGRAPH2004/p712-paris.pdf
","/CHI/CHI2010/p35-aula.pdf
","/ITiCSE/ITiCSE2006/p48-brusilovsky.pdf
","/WWW/WWW2003/p1-henzinger.pdf
","/WSDM/WSDM2009/p162-piwowarski.pdf
","/PEWASUN/PEWASUN2010/p50-gazoni.pdf
","/SIGMETRICS/SIGMETRICS2008/p61-kim.pdf
","/SIGMOD/SIGMOD2001/p367-kalnis.pdf
","/ICSE/ICSE2010/p65-ferrari.pdf
","/MobiCom/MobiCom2010/p341-keralapura.pdf
","/MobiCom/MobiCom2010/p73-higgins.pdf
","/MM/MM2007/p569-singh.pdf
","/MM/MM2010/p241-adcock.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/SIGCOMM/SIGCOMM2005/p73-rhea.pdf
","/ASPLOS/ASPLOS2010/p385-feng.pdf
","/MICRO/MICRO2008/04771799.pdf
","/CCS/CCS2010/p15-christin.pdf
","/CCS/CCS2010/p270-jang.pdf
","/ASE/ASE2010/p33-buse.pdf
","/ICSE/ICSE2010/p185-latoza.pdf
","/SAC/SAC2010/p558-wibisono.pdf
","/SAC/SAC2010/p1708-fautsch.pdf
","/UIST/UIST2004/p175-fujima.pdf
","/HT/HT2010/p109-cartledge.pdf
","/WWW/WWW2010/p21-archak.pdf
","/WWW/WWW2010/p401-hao.pdf
"
2,"/GROUP/GROUP2007/p21-munkvold.pdf
","/JCDL/JCDL2001/p41-marshall.pdf
","/IUI/IUI2008/p139-tuchinda.pdf
","/KCAP/KCAP2001/p147-sproat.pdf
","/ANCS/ANCS2009/p50-guo.pdf
","/PPoPP/PPoPP2003/p179-pozniansky.pdf
","/CHI/CHI2004/p159-hourizi.pdf
","/GROUP/GROUP2010/p165-morgan.pdf
","/KDD/KDD2003/p523-gama.pdf
","/OSDI/OSDI2006/p89-joukov.pdf
","/IUI/IUI2005/p35-pan.pdf
","/VLDB/VLDB2005/p958-fagin.pdf
","/IUI/IUI2009/p157-gervasio.pdf
","/GECCO/GECCO2008/p1259-nunkesser.pdf
","/EMSOFT/EMSOFT2007/p154-baek.pdf
","/SC/SC2006/27000014.pdf
","/SC/SC2003/21130005.pdf
","/PODC (1)/PODC2010/p173-tan.pdf
","/ITiCSE/ITiCSE2007/p196-cutts.pdf
","/ICSE/ICSE2006/p655-port.pdf
","/DATE/DATE2009/p99-stoimenov.pdf
","/CGO/CGO2009/3576a254.pdf
","/NPAR/NPAR2007/p121-zelnik-manor.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2008/a120-gutierrez.pdf
","/CHI/CHI2007/p407-cutrell.pdf
","/ITiCSE/ITiCSE2005/p281-krebs.pdf
","/SIGIR/SIGIR2002/p121-hardy.pdf
","/KDD/KDD2005/p239-radlinski.pdf
","/MobiHoc/MobiHoc2005/p230-lee.pdf
","/SIGCOMM/SIGCOMM2004/p145-jain.pdf
","/SIGCOMM/SIGCOMM2004/p107-sripanidkulchai.pdf
","/ICSE/ICSE2005/p352-ruthruff.pdf
","/AAMAS/AAMAS2003/p789-ogston.pdf
","/MobiArch/MobiArch2010/p27-alperovich.pdf
","/SIGDOC/SIGDOC2010/p89-filho.pdf
","/JCDL/JCDL2007/p81-kan.pdf
","/CF/CF2008/p67-perfumo.pdf
","/SOSP/SOSP2007/p205-decandia.pdf
","/ASPLOS/ASPLOS2007/p73-shyam.pdf
","/ASPLOS/ASPLOS2009/p157-dice.pdf
","/EDBT/EDBT2008/p630-giuffrida.pdf
","/PLDI/PLDI2008/p193-mccamant.pdf
","/ESEC/ESEC2007/p165-cottrell.pdf
","/ESEC/ESEC2007/p361-latoza.pdf
","/PETRA/PETRA2008/a2-roy.pdf
","/CIKM/CIKM2009/p1267.pdf
","/SIGMOD/SIGMOD2007/p1125-gupta.pdf
","/CIKM/CIKM2006/p435-nanavati.pdf
","/CHI/CHI2006/p1037-cosley.pdf
","/SIGIR/SIGIR2009/p484.pdf
"
3,"/CHI/CHI2010/p1879-wilcox.pdf
","/JCDL/JCDL2001/p426-crane.pdf
","/CHI/CHI2009/p1859-toomim.pdf
","/SPLASH/SPLASH2008/p617-gabriel.pdf
","/CASES/CASES2002/p202-melvin.pdf
","/SOSP/SOSP2005/p221-yu.pdf
","/CHI/CHI2006/p917-vannimwegen.pdf
","/JCDL/JCDL2002/p106-weatherley.pdf
","/ICIS/ICIS2009/p649-huang.pdf
","/SIGMETRICS/SIGMETRICS2006/p3-thereska.pdf
","/AVI/AVI2004/p183-lesh.pdf
","/SIGMOD/SIGMOD2008/p67-bansal.pdf
","/AAMAS/AAMAS2009/p899-lisy.pdf
","/KDD/KDD2009/p887-wu.pdf
","/ASPLOS/ASPLOS2001/p86-wu.pdf
","/PACT/PACT2007/29440213.pdf
","/HPDC/HPDC2009/p1-yi.pdf
","/KDD/KDD2004/p276-shavlik.pdf
","/ITiCSE/ITiCSE2009/p94-curzon.pdf
","/SIGCSE/SIGCSE2004/p12-waite.pdf
","/WSC/WSC2005/p427-kemper.pdf
","/CGO/CGO2010/p180-edler-von-koch.pdf
","/NPAR/NPAR2004/p121-sykora.pdf
","/SIGGRAPHASIA/SIGGRAPHASIA2010/a170-regg.pdf
","/SUITE/SUITE2009/05070023.pdf
","/ICER/ICER2005/p123-ihantola.pdf
","/CIKM/CIKM2005/p91-dasneves.pdf
","/CIKM/CIKM2007/p175.pdf
","/SASN/SASN2006/p91-kefayati.pdf
","/SIGMETRICS/SIGMETRICS2009/p229-laoutaris.pdf
","/IPSN/IPSN2010/p47-tavakoli.pdf
","/ICSE/ICSE2007/28280560.pdf
","/MSWIM/MSWIM2006/p330-raivio.pdf
","/NetGames/NetGames2002/p36-bauer.pdf
","/EuroITV/EuroITV2009/p57-manzato.pdf
","/CIVR/CIVR2008/p609-viaud.pdf
","/DaMon/DaMon2008/p35-johnson.pdf
","/ERLANG/ERLANG2010/p33-fritchie.pdf
","/ISCA/ISCA2010/p497-dekruijf.pdf
","/PACT/PACT2006/p134-manovit.pdf
","/CCS/CCS2004/p236-roth.pdf
","/SIGSOFT/SIGSOFT2008/p124-koesnandar.pdf
","/MSR/MSR2008/p51-parnin.pdf
","/CHI/CHI2009/p1569-ko.pdf
","/MDM2005/p137-anagnostopoulos.pdf
","/ASE/ASE2010/p245-gibiec.pdf
","/SIGAda/SIGAda2003/p38-rosen.pdf
","/KDD/KDD2005/p177-leskovec.pdf
","/EC/EC2010/p209-horton.pdf
","/GIS/GIS2010/p137-zheng.pdf
"
4,"/CHI/CHI2007/p219-tang.pdf
","/HT/HT2005/p23-mulholland.pdf
","/WWW/WWW2006/p553-irmak.pdf
","/SIGUCCS/SIGUCCS2001/p97-mayer.pdf
","/ANCS/ANCS2006/p143-shi.pdf
","/ISCA/ISCA2008/3174a277.pdf
","/CHI/CHI2009/p1799-jin.pdf
","/JCDL/JCDL2005/p213-khoo.pdf
","/PROMISE/PROMISE2009/a13-andrews.pdf
","/SAC/SAC2004/p1711-chang.pdf
","/IUI/IUI2005/p191-blythe.pdf
","/C3S2E/C3S2E2008/p173-rinfret.pdf
","/IUI/IUI2000/p149-jameson.pdf
","/RECOMB/RECOMB2002/p321-zien.pdf
","/OSDI/OSDI2000/p3-brown.pdf
","/ISCA/ISCA2003/p14-magklis.pdf
","/ANCS/ANCS2007/p67-mallik.pdf
","/CASCON/CASCON2007/p152-munawar.pdf
","/SIGCSE/SIGCSE2005/p361-guzdial.pdf
","/ICSE/ICSE2006/p661-stankovic.pdf
","/CODES/CODES2008/p55-frigerio.pdf
","/CGO/CGO2009/3576a265.pdf
","/SIGGRAPH/SIGGRAPH2004/p294-agarwala.pdf
","/VIS/VIS2001/p465-wei.pdf
","/SIGIR/SIGIR2007/p159-white.pdf
","/SIGCSE/SIGCSE2008/p493-allenstein.pdf
","/JCDL/JCDL2001/p259-geffet.pdf
","/WSDM/WSDM2010/p181-dupret.pdf
","/CoNext/CoNext2008/a24-zhang.pdf
","/SIGCOMM/SIGCOMM2004/p107-sripanidkulchai.pdf
","/CIKM/CIKM2000/p54-yee.pdf
","/ICSE/ICSE2000/p428-leszak.pdf
","/IWCMC/IWCMC2010/p875-chen.pdf
","/WSC/WSC2002/p2022-sun.pdf
","/WI/WI2007/30260041.pdf
","/SAICSIT/SAICSIT2009/p60-patel.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/CCS/CCS2009/p199-ristenpart.pdf
","/ISCA/ISCA2005/22700160.pdf
","/PLDI/PLDI2007/p223-ding.pdf
","/CoNext/CoNext2010/a19-liberatore.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/ICSE/ICSE2009/05070532.pdf
","/SUITE/SUITE2010/p29-latoza.pdf
","/AAMAS/AAMAS2008/p813-van_diggelen.pdf
","/SIGIR/SIGIR2007/p15-bai.pdf
","/AVI/AVI2002/p251-jamil.pdf
","/KDD/KDD2004/p118-faloutsos.pdf
","/GECCO/GECCO2008/p1851-fernandez.pdf
","/WWW/WWW2008/p297-kennedy.pdf
"
5,"/GROUP/GROUP2007/p1-schmidt.pdf
","/MindTrek/MindTrek2009/p19-lovlie.pdf
","/MobiSys/MobiSys2010/p345-puttaswamy.pdf
","/SIGUCCS/SIGUCCS2002/p181-kingsbury.pdf
","/PRESTO/PRESTO2010/a2-dobrescu.pdf
","/ISCA/ISCA2003/p110-prvulovic.pdf
","/CHI/CHI2003/p257-hudson.pdf
","/ICER/ICER2008/p27-boustedt.pdf
","/GECCO/GECCO2008/p1259-nunkesser.pdf
","/CASES/CASES2008/p255-hom.pdf
","/IUI/IUI2001/p57-derthick.pdf
","/SIGMOD/SIGMOD2004/p743-sarawagi.pdf
","/TARK/TARK2009/p99-devanur.pdf
","/KDD/KDD2007/p667-song.pdf
","/MICRO/MICRO2009/p337-isen.pdf
","/EuroSys/EuroSys2010/p125-koufaty.pdf
","/ICS/ICS2010/p95-linderman.pdf
","/KDD/KDD2005/p516-yang.pdf
","/SIGCSE/SIGCSE2005/p535-lewandowski.pdf
","/SIGCSE/SIGCSE2001/p282-bergin.pdf
","/EMSOFT/EMSOFT2004/p95-almeida.pdf
","/CASES/CASES2010/p87-youn.pdf
","/NPAR/NPAR2008/p39-xu.pdf
","/SCCG/SCCG2009/p145-brunnhuber.pdf
","/SIGIR/SIGIR2010/p34.pdf
","/IUI/IUI2000/p113-garcia.pdf
","/JCDL/JCDL2002/p46-pinto.pdf
","/WWW/WWW2010/p111-bennett.pdf
","/SASN/SASN2006/p135-radosavac.pdf
","/SC/SC2004/21530023.pdf
","/EDBT/EDBT2008/p678-gidofalvi.pdf
","/CASCON/CASCON2001/p7-kelly.pdf
","/HPDC/HPDC2007/p11-shirai.pdf
","/CCS/CCS2009/p223-traynor.pdf
","/MM/MM2009/p1117-kofler.pdf
","/WWW/WWW2001/p652-buyukkokten.pdf
","/ICS/ICS2009/p126-gajinov.pdf
","/WSC/WSC2007/p1543-parker.pdf
","/MSPC/MSPC2006/p11-mehrara.pdf
","/ISCA/ISCA2004/21430114.pdf
","/CCS/CCS2009/p199-ristenpart.pdf
","/CCS/CCS2007/p25-balzarotti.pdf
","/ISSTA/ISSTA2010/p119-gruska.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/MobiDE/MobiDE2009/p41-tsetsos.pdf
","/CIKM/CIKM2001/p207-blok.pdf
","/UIST/UIST2000/p191-olsen.pdf
","/CoNext/CoNext2009/p157-puttaswamy.pdf
","/SAC/SAC2007/p1422-host.pdf
","/MIR/MIR2006/p89-jaffe.pdf
"
6,"/GROUP/GROUP2005/p168-bardram.pdf
","/DIS/DIS2006/p150-davies.pdf
","/ICSE/ICSE2001/p25-ricca.pdf
","/PLoP/PLoP2009/a7-manns.pdf
","/ISCA/ISCA2003/p300-hasan.pdf
","/PPoPP/PPoPP2009/p173-ratanaworabhan.pdf
","/CHI/CHI2004/p271-adamczyk.pdf
","/SIGDOC/SIGDOC2006/p43-spinuzzi.pdf
","/KDD/KDD2009/p1057-zhu.pdf
","/SC/SC2008/a42-shan.pdf
","/CHI/CHI2005/p431-robertson.pdf
","/CIKM/CIKM2008/p3.pdf
","/UIST/UIST2005/p173-gajos.pdf
","/SIGCOMM/SIGCOMM2002/p161-medina.pdf
","/LCTES/LCTES2007/p185-ning.pdf
","/SC/SC2007/a58-glosli.pdf
","/SC/SC2008/a33-lin.pdf
","/ICAC/ICAC2009/p13-jiang.pdf
","/SIGCSE/SIGCSE2007/p556-purewal.pdf
","/ICLS/ICLS2010/p889-borge.pdf
","/CODES/CODES2009/p433-schliecker.pdf
","/MICRO/MICRO2003/p129-clark.pdf
","/SIGGRAPH/SIGGRAPH2010/a84-lefebvre.pdf
","/JCDL/JCDL2004/p117-seales.pdf
","/SIGIR/SIGIR2009/p379.pdf
","/SIGCSE/SIGCSE2004/p432-goldman.pdf
","/CIKM/CIKM2003/p443-conrad.pdf
","/CIKM/CIKM2010/p1469.pdf
","/WiSe/WiSe2005/p33-radosavac.pdf
","/MobiSys/MobiSys2003/p71-li.pdf
","/MobiWac/MobiWac2010/p29-fanelli.pdf
","/ISSTA/ISSTA2004/p65-elbaum.pdf
","/SIGMETRICS/SIGMETRICS2005/p327-donnet.pdf
","/SIGCOMM/SIGCOMM2004/p159-wang.pdf
","/WI/WI2006/274700815.pdf
","/CIVR/CIVR2008/p635-liu.pdf
","/ICS/ICS2009/p421-pant.pdf
","/SIGMOD/SIGMOD2008/p251-brantner.pdf
","/ISCA/ISCA2009/p93-powell.pdf
","/ASPLOS/ASPLOS2010/p53-bergan.pdf
","/SOUPS/SOUPS2010/a16-de_luca.pdf
","/CCS/CCS2010/p595-zhang.pdf
","/SIGSOFT/SIGSOFT2010/p147-gabel.pdf
","/ICSE/ICSE2009/05070532.pdf
","/Middleware/Middleware2009/a13-massaguer.pdf
","/CIKM/CIKM2004/p270-bot.pdf
","/EDBT/EDBT2008/p690-saint-paul.pdf
","/SAC/SAC2005/p1231-mcpherson.pdf
","/PROMISE/PROMISE2009/a2-menzies.pdf
","/LOCWEB/LOCWEB2010/a8-oliveirinha.pdf
"
7,"/CSCW/CSCW2008/p205-tang.pdf
","/IUI/IUI2009/p27-wagner.pdf
","/HT/HT2010/p67-paz.pdf
","/CSCW/CSCW2010/p361-su.pdf
","/SLIP/SLIP2006/p59-heirman.pdf
","/MICRO/MICRO2010/4299a287.pdf
","/CHI/CHI2007/p41-gluck.pdf
","/ICLS/ICLS2010/p667-hackbarth.pdf
","/SAC/SAC2009/p1475-lopes.pdf
","/ISLPED/ISLPED2007/p141-xian.pdf
","/SAC/SAC2010/p1173-massink.pdf
","/KDD/KDD2009/p1057-zhu.pdf
","/CHI/CHI2010/p1343-kapoor.pdf
","/GECCO/GECCO2007/p1179-chiotis.pdf
","/DATE/DATE2010/p914-ferreira.pdf
","/ISCA/ISCA2003/p157-huang.pdf
","/SIGMOD/SIGMOD2010/p483-cieslewicz.pdf
","/CCS/CCS2009/p314-ali.pdf
","/SIGCSE/SIGCSE2008/p383-sturtevant.pdf
","/SIGCSE/SIGCSE2006/p122-etlinger.pdf
","/CASES/CASES2003/p63-poplavko.pdf
","/CASES/CASES2004/p238-carr.pdf
","/KDD/KDD2009/p1057-zhu.pdf
","/SIGGRAPH/SIGGRAPH2008/a15-snavely.pdf
","/JCDL/JCDL2007/p319-huggett.pdf
","/ECCE/ECCE2009/a29-wassink.pdf
","/SIGIR/SIGIR2004/p210-zeng.pdf
","/WWW/WWW2002/p333-oztekin.pdf
","/SenSys/SenSys2003/p14-woo.pdf
","/NetGames/NetGames2003/p77-fitzek.pdf
","/VLDB/VLDB2007/p159-tatbul.pdf
","/KDD/KDD2007/p959-kohavi.pdf
","/PEWASUN/PEWASUN2006/p123-flores.pdf
","/NetGames/NetGames2002/p29-griwodz.pdf
","/CHI/CHI2008/p875-katsanos.pdf
","/MM/MM2010/p1507-adcock.pdf
","/PACT/PACT2010/p285-zyulkyarov.pdf
","/WSC/WSC2004/p792-horling.pdf
","/CF/CF2010/p319-borodin.pdf
","/PACT/PACT2007/29440388.pdf
","/CCS/CCS2007/p375-franklin.pdf
","/CCS/CCS2010/p585-chaudhuri.pdf
","/ICSE/ICSE2008/p451-maule.pdf
","/ICSE/ICSE2006/p989-ko.pdf
","/MobiDE/MobiDE2007/p41-sanchez.pdf
","/CIKM/CIKM2008/p489.pdf
","/AVI/AVI2004/p395-stocq.pdf
","/KDD/KDD2008/p435-kossinets.pdf
","/ICSE/ICSE2009/05070509.pdf
","/JCDL/JCDL2004/p53-naaman.pdf
"
8,"/CSCW/CSCW2002/p176-bossen.pdf
","/CSCW/CSCW2002/p296-grasso.pdf
","/AVI/AVI2008/p251-dix.pdf
","/WSDM/WSDM2009/p252-singla.pdf
","/MICRO/MICRO2009/p280-das.pdf
","/EuroSys/EuroSys2010/p307-chew.pdf
","/ICMI-MLMI/ICMI-MLMI2004/p129-oviatt.pdf
","/SAC/SAC2010/p1213-hayashi.pdf
","/KDD/KDD2004/p835-truong.pdf
","/SC/SC2009/a21-bent.pdf
","/HT/HT2010/p67-paz.pdf
","/SIGMOD/SIGMOD2007/p641-chen.pdf
","/GECCO/GECCO2005/p1325-tang.pdf
","/KDD/KDD2003/p511-dumouchel.pdf
","/ISMM/ISMM2008/p41-gorman.pdf
","/MICRO/MICRO2003/p228-fields.pdf
","/SPLASH/SPLASH2010/p806-rinard.pdf
","/KDD/KDD2000/p474-farahat.pdf
","/ITiCSE/ITiCSE2006/p53-plimmer.pdf
","/ICLS/ICLS2004/p113-cavallo.pdf
","/DAC/DAC2006/p37-tanimoto.pdf
","/CASES/CASES2006/p242-bonzini.pdf
","/SIGGRAPH/SIGGRAPH2000/p417-bertalmio.pdf
","/UIST/UIST2004/p119-letessier.pdf
","/EC/EC2000/p197-callahan.pdf
","/SIGCSE/SIGCSE2010/p187-virseda.pdf
","/WWW/WWW2009/p971-pasternack.pdf
","/SIGIR/SIGIR2008/p331.pdf
","/MSWIM/MSWIM2006/p155-kim.pdf
","/HPDC/HPDC2007/p137-weigle.pdf
","/SIGMOD/SIGMOD2006/p683-agrawal.pdf
","/ICSE/ICSE2008/p733-siebra.pdf
","/SIGMOD/SIGMOD2004/p755-chakrabarti.pdf
","/SIGCOMM/SIGCOMM2003/p27-fall.pdf
","/NordiCHI/NordiCHI2010/p483-stelmaszewska.pdf
","/IUI/IUI2008/p267-basu.pdf
","/PADTAD/PADTAD2009/a3-lourenco.pdf
","/SIGCOMM/SIGCOMM2010/p375-pujol.pdf
","/CASES/CASES2008/p1-gupta.pdf
","/IWMSE/IWMSE2008/p23-oancea.pdf
","/MobiCom/MobiCom2007/p99-pang.pdf
","/CCS/CCS2010/p607-bisht.pdf
","/ICSE/ICSE2008/p301-ko.pdf
","/ESEC/ESEC2007/p341-fritz.pdf
","/TARK/TARK2009/p99-devanur.pdf
","/JCDL/JCDL2007/p402-deng.pdf
","/IUI/IUI2008/p139-tuchinda.pdf
","/iiWAS/iiWAS2008/p98-mahdi.pdf
","/KDD/KDD2003/p717-mayer.pdf
","/MM/MM2007/p631-kennedy.pdf
"
9,"/IIiX/IIiX2010/p3-huuskonen.pdf
","/CHI/CHI2002/p227-sellen.pdf
","/UIST/UIST2004/p175-fujima.pdf
","/DIS/DIS2004/p145-ohara.pdf
","/PADS/PADS2003/p153-yuan.pdf
","/PLDI/PLDI2008/p68-boehm.pdf
","/HRI/HRI2006/p80-sellner.pdf
","/CSCW/CSCW2008/p495-danis.pdf
","/SAC/SAC2004/p548-rodriguez.pdf
","/ICS/ICS2010/p223-zhang.pdf
","/VIS/VIS2003/20300070.pdf
","/WWW/WWW2005/p245-anagnostopoulos.pdf
","/SIGMOD/SIGMOD2008/p1147-nambiar.pdf
","/ICML/ICML2004/p211-ray.pdf
","/SAC/SAC2009/p1621-liu.pdf
","/MICRO/MICRO2000/p202-huang.pdf
","/HPDC/HPDC2010/p119-abramson.pdf
","/SC/SC2009/a55-mohror.pdf
","/SIGCSE/SIGCSE2006/p77-cliburn.pdf
","/PLoP/PLoP2006/a6-bergin.pdf
","/EMSOFT/EMSOFT2009/p107-lampka.pdf
","/LCTES/LCTES2009/p41-lee.pdf
","/AVI/AVI2002/p148-house.pdf
","/SIGGRAPH/SIGGRAPH2000/p121-chuang.pdf
","/IIiX/IIiX2008/p89-joho.pdf
","/ASSETS/ASSETS2000/p142-smith.pdf
","/SAC/SAC2007/p872-savoy.pdf
","/KDD/KDD2009/p867-wang.pdf
","/MobiCom/MobiCom2005/p156-raman.pdf
","/CoNext/CoNext2010/a4-applegate.pdf
","/VLDB/VLDB2004/p456-ahmad.pdf
","/WoSQ/WoSQ2006/p15-damm.pdf
","/WWW/WWW2006/p193-dubinko.pdf
","/CHANTS/CHANTS2007/p75-may.pdf
","/IUI/IUI2010/p389-vallet.pdf
","/MM/MM2008/p489-villa.pdf
","/SPAA/SPAA2010/p325-dice.pdf
","/CoNext/CoNext2007/a45-saucez.pdf
","/PACT/PACT2007/29440213.pdf
","/ICS/ICS2009/p126-gajinov.pdf
","/DIM/DIM2008/p61-jakobsson.pdf
","/WODA/WODA2006/p3-orso.pdf
","/ICSE/ICSE2008/p11-reiss.pdf
","/CHI/CHI2004/p151-ko.pdf
","/Web3D/Web3D2003/p113-fabre.pdf
","/SAC/SAC2007/p872-savoy.pdf
","/C3S2E/C3S2E2009/p73-tilsner.pdf
","/AVI/AVI2004/p71-bovey.pdf
","/KDD/KDD2007/p959-kohavi.pdf
","/JCDL/JCDL2008/p85-popescu.pdf
"
10,"/CSCW/CSCW2006/p59-munkvold.pdf
","/JCDL/JCDL2001/p189-cunningham.pdf
","/KCAP/KCAP2005/p3-gazen.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/SLIP/SLIP2007/p65-heirman.pdf
","/PADTAD/PADTAD2010/p26-teixeira.pdf
","/CHI/CHI2010/p1475-oulasvirta.pdf
","/ICLS/ICLS2010/p120-charles.pdf
","/KDD/KDD2003/p29-bay.pdf
","/PPoPP/PPoPP2008/p153-iskra.pdf
","/AVI/AVI2004/p395-stocq.pdf
","/SAICSIT/SAICSIT2004/p229-hazelhurst.pdf
","/SIGCSE/SIGCSE2010/p385-ginat.pdf
","/MIR/MIR2010/p211-gawalt.pdf
","/ASPLOS/ASPLOS2009/p229-gupta.pdf
","/PPoPP/PPoPP2006/p230-springer.pdf
","/SIGMOD/SIGMOD2009/p165-pavlo.pdf
","/IMC/IMC2005/p31-soule.pdf
","/WCCCE/WCCCE2009/p54-eng.pdf
","/ITiCSE/ITiCSE2002/p195-bergin.pdf
","/CODES/CODES2007/p173-haid.pdf
","/LCTES/LCTES2004/p182-hiser.pdf
","/SAC/SAC2009/p1166-hoersting.pdf
","/ISMAR/ISMAR2007/04538830.pdf
","/CIKM/CIKM2006/p94-thomas.pdf
","/SoftVis/SoftVis2005/p183-deline.pdf
","/CIKM/CIKM2009/p1685.pdf
","/WWW/WWW2009/p121-bennett.pdf
","/BADS/BADS2009/p53-bicocchi.pdf
","/SIGCOMM/SIGCOMM2006/p411-sung.pdf
","/VLDB/VLDB2005/p673-shah.pdf
","/QoP/QoP2008/p39-ceccato.pdf
","/KDD/KDD2010/p393-leroy.pdf
","/ValueTools/ValueTools2007/a66-remuss.pdf
","/JCDL/JCDL2002/p36-kan.pdf
","/UIST/UIST2008/p239-adar.pdf
","/PACT/PACT2007/29440388.pdf
","/DocEng/DocEng2009/p13-fraser.pdf
","/MICRO/MICRO2006/27320026.pdf
","/ISCA/ISCA2003/p110-prvulovic.pdf
","/WPES/WPES2006/p109-cvrcek.pdf
","/SIGAda/SIGAda2001/p81-laski.pdf
","/ASE/ASE2010/p43-sridhara.pdf
","/SIGSOFT/SIGSOFT2006/p23-sillito.pdf
","/MPAC/MPAC2004/p111-huebscher.pdf
","/SIGIR/SIGIR2007/p455-azzopardi.pdf
","/EDBT/EDBT2010/p717-turker.pdf
","/KDD/KDD2006/p611-kumar.pdf
","/WSC/WSC2009/p1-schriber.pdf
","/JCDL/JCDL2010/p263.pdf
"
